"","class","AIC","class.1","AIC.1","class.2","AIC.2","class.3","AIC.3","class.4","AIC.4","class.5","AIC.5","class.6","AIC.6"
"1","Exponential",8499.62488483465,"Exponential",1308.86856440099,"Exponential",1512.01627104779,"Exponential",887.164243769042,"Exponential",2011.23170407143,"Exponential",1557.78544135344,"Exponential",1373.29894911844
"2","LogNormal",8131.99443852117,"LogNormal",1254.43042131934,"LogNormal",1475.30953409234,"LogNormal",841.427224260914,"LogNormal",1974.2790874285,"LogNormal",1502.92429740407,"LogNormal",1315.02117837595
"3","Loglogistic",8107.56932575405,"Loglogistic",1247.01966353939,"Loglogistic",1474.86726430092,"Loglogistic",839.943806571897,"Loglogistic",1959.43941809721,"Loglogistic",1501.69512961091,"Loglogistic",1319.56328032605
"4","Generalized gamma",8122.63203325536,"Generalized gamma",1255.68697439255,"Generalized gamma",1476.86467553344,"Generalized gamma",843.032256754958,"Generalized gamma",1973.27303992762,"Generalized gamma",1499.51815247841,"Generalized gamma",1313.96308165762
"5","Gompertz",8458.63168458807,"Gompertz",1298.91333591894,"Gompertz",1511.59727046043,"Gompertz",885.287672724441,"Gompertz",2013.16363983445,"Gompertz",1557.94278473963,"Gompertz",1370.75751774177
"6","Weibull",8256.07313557049,"Weibull",1270.74608495472,"Weibull",1509.50434507619,"Weibull",862.938313269667,"Weibull",1998.67608508983,"Weibull",1550.813478799,"Weibull",1346.96500014203
"7","Royston and Parmar-odds 2",8101.11965243531,"Royston and Parmar-odds 2",1236.84414494075,"Royston and Parmar-odds 2",1476.76777087059,"Royston and Parmar-odds 2",836.022472016241,"Royston and Parmar-odds 2",1954.18135922664,"Royston and Parmar-odds 2",1484.7716378376,"Royston and Parmar-odds 2",1307.55616953083
"8","Royston and Parmar-odds 3",8027.88650288617,"Royston and Parmar-odds 3",1237.16254869086,"Royston and Parmar-odds 3",1472.86811822444,"Royston and Parmar-odds 3",816.764867291138,"Royston and Parmar-odds 3",1950.89505608751,"Royston and Parmar-odds 3",1479.45157445558,"Royston and Parmar-odds 3",1309.62168315875
"9","Royston and Parmar-hazard 2",8109.1582788768,"Royston and Parmar-hazard 2",1234.91325699447,"Royston and Parmar-hazard 2",1478.84430239707,"Royston and Parmar-hazard 2",833.41310787104,"Royston and Parmar-hazard 2",1952.40509634026,"Royston and Parmar-hazard 2",1481.72698568206,"Royston and Parmar-hazard 2",1308.27233155796
"10","Royston and Parmar-hazard 3",8027.30889262648,"Royston and Parmar-hazard 3",1236.70919030515,"Royston and Parmar-hazard 3",1473.3518154491,"Royston and Parmar-hazard 3",818.48565121759,"Royston and Parmar-hazard 3",1953.68890117092,"Royston and Parmar-hazard 3",1480.01508019881,"Royston and Parmar-hazard 3",1309.93978513804
"11","Royston and Parmar-normal 2",8113.81309332413,"Royston and Parmar-normal 2",1238.26254084779,"Royston and Parmar-normal 2",1477.7258622436,"Royston and Parmar-normal 2",837.100754252176,"Royston and Parmar-normal 2",1953.75837085766,"Royston and Parmar-normal 2",1484.18970915311,"Royston and Parmar-normal 2",1306.62061056728
"12","Royston and Parmar-normal 3",8027.30611559059,"Royston and Parmar-normal 3",1236.97918630719,"Royston and Parmar-normal 3",1474.06818061384,"Royston and Parmar-normal 3",816.348200642676,"Royston and Parmar-normal 3",1950.37735254747,"Royston and Parmar-normal 3",1478.3513310027,"Royston and Parmar-normal 3",1308.68951397846
