incremental_utility_cam,incremental_cost_cam,incremental_utility_niv,incremental_cost_niv,incremental_utility_sin,incremental_cost_sin,incremental_utility_tor,incremental_cost_tor,incremental_utility_pem,incremental_cost_pem,incremental_utility_tis,incremental_cost_tis
1.01,29662.14,0.25,68810.24,0.34,14649.21,1.13,27707.56,0.17461037,84698.25287,0.233122342,14983.55391
0.478715689,13377.81,0.28,66709.39,0.20,8246.95,0.50,13627.88,0.362488088,74222.56494,0.464966869,13847.37318
0.505581977,15399,0,67086.05,0.68,20530.60,0.55,15841.18,0.4226706,82973.84706,0.438398557,15082.44219
0.115901736,2246.466326,0.301360209,62576.20426,-0.052513126,1125.549837,-0.144295077,-1513.076016,-0.150315109,73081.72371,-0.370359531,-5191.743285
1.420633938,30853.12027,0.331385538,64660.95865,0.836182652,19163.89544,1.083267424,24399.48667,0.314289937,91984.91361,0.855801435,20793.72048
0.599345987,18684.26523,0.26703138,68920.95789,0.700365739,17232.43607,0.405282274,15839.81211,0.57273945,97207.95493,1.005439552,30288.71084
0.001241114,3825.849497,0.347757778,69119.68446,0.281021494,9224.520529,0.265781644,7963.274329,0.620484923,87095.39573,0.719130891,18042.15993
0.5871245,15820.50604,0.273291652,60005.93634,1.383359874,34493.00238,0.689813846,18803.45278,0.518752736,88407.71533,1.070124837,27080.33313
0.396257351,11307.57972,0.307331704,68887.60636,1.248977483,27746.80005,0.466338715,11939.57189,0.767117483,89567.57268,0.596966699,16016.85607
0.601698043,12515.05296,0.344414419,67910.78555,0.784207984,16732.48912,0.456719648,11748.69601,1.639738143,102645.2022,0.736799181,17318.79606
0.798663424,19430.52415,0.300910121,69006.08521,1.230559149,30530.81504,1.764831511,39864.2213,0.34481044,68995.77363,1.209669505,29253.04865
0.943555823,21760.52392,0.345119581,64560.09683,0.675374214,17360.7346,2.08951939,49366.862,0.297909614,69897.49375,0.921346735,22044.95158
0.054110136,5560.239319,0.316912774,63167.97578,0.244894652,10318.71219,0.196657751,8202.857319,0.299694751,65259.68196,0.802189897,21678.11174
0.298577215,9900.293389,0.300110591,59806.58837,0.517223629,15702.96884,0.680230271,17077.11803,0.460032657,85361.48889,0.454231644,14032.77036
0.660622267,16587.23135,0.299945159,60245.24432,0.460979134,13599.21966,0.399686418,10553.1753,0.293657959,81755.63308,0.56387646,15209.0367
0.595608625,13469.31332,0.324306131,62247.62407,0.301905466,8082.974732,1.034132247,25005.92701,0.546184815,72999.06153,0.619583945,19812.55879
0.708389075,19041.6626,0.296192973,59409.57365,0.271991267,9349.42909,0.223900501,10683.16553,0.284200807,76364.0494,1.37449101,30430.76543
0.259214551,8273.743398,0.289573902,61743.94299,0.478151491,15140.39594,0.82763691,22115.63039,0.476293845,100007.6638,0.439514851,14396.26945
0.715034651,21044.01494,0.241266588,68447.09278,0.77115289,22416.18654,0.531851475,16425.35864,0.232160898,75732.98673,0.413289693,15278.25202
0.576688437,14332.78679,0.318643687,68120.4586,0.805025482,17763.62351,1.109243058,24512.22517,0.475527136,72023.34666,0.49891606,10961.61321
0.966743993,21520.43098,0.345975082,63892.47664,1.039190444,22325.99915,0.922947091,21548.83956,0.910348668,108931.005,1.179982931,27208.92386
0.190600399,7821.191685,0.301937991,67218.58118,0.105113894,6013.505503,0.637597892,17318.56298,0.263541354,97093.99236,0.38283946,13373.61194
0.278736664,9565.036785,0.330998296,69947.16324,1.266575531,27304.87703,0.782114814,17449.30197,0.133900361,75674.23141,0.62882416,16974.36385
1.334431749,34076.1305,0.270660849,63259.10097,0.536780064,17743.24594,0.632170625,19807.65246,0.501552446,78942.42952,0.611483393,17615.55023
0.816161856,19888.9278,0.3026634,64026.01299,0.512767705,13159.50227,0.990792684,22439.16162,0.41574185,80243.58808,0.61538557,16319.4363
0.160223871,7281.481097,0.340393362,65127.25272,1.56100089,32384.24765,0.789564078,17819.07184,0.362229094,97283.51306,0.296504416,10010.92695
0.626311877,14882.16852,0.310791597,65308.95108,0.77703473,20056.77753,0.64943956,13385.06122,0.248776491,71819.32848,0.515488888,11818.35622
0.70426922,17759.36001,0.305366192,63534.69075,1.03217924,24658.33515,0.759190401,19681.56576,0.640873598,102419.4734,0.687447887,19013.93775
0.74149038,19495.54638,0.292671706,65103.71575,0.194027102,8470.169832,0.343686176,10546.65851,0.707644021,90203.64619,0.449873257,14755.04275
0.723066415,18736.93625,0.300155766,57563.78026,0.960192292,24266.0489,0.606222301,15676.95057,0.456569898,75543.4277,0.106003343,7422.006918
0.268755769,8020.590226,0.307772659,68520.81055,0.450930242,10999.77185,0.565665106,16853.9248,0.283158736,86878.09875,0.132340727,7623.129724
0.159479405,6355.885395,0.308124234,68942.46237,0.282807006,9333.064632,0.29374166,8412.676704,-0.053957223,58023.5658,0.404624795,12100.28661
0.383401103,10837.50355,0.27181632,66840.34031,0.741580688,18835.2226,0.421402402,11659.61611,0.784537508,95726.24104,0.617051668,14784.66713
0.255136996,8832.477842,0.318054011,68124.7096,1.394764997,33779.97839,0.61033965,16896.94353,0.46540535,75228.4112,0.496516659,14730.39021
