k	time	survival
1	0.154601	0.99726
2	0.618405	0.989041
3	0.82454	0.980822
4	1.13374	0.967123
5	1.44294	0.958904
6	1.85521	0.956164
7	2.06135	0.950685
8	2.31902	0.942466
9	2.67975	0.926027
10	2.98896	0.915068
11	3.19509	0.915068
12	3.50429	0.906849
13	3.76196	0.89863
14	3.86503	0.887671
15	4.01963	0.876712
16	4.22577	0.868493
17	4.38037	0.863014
18	4.68957	0.854795
19	4.89571	0.843836
20	5.20491	0.832877
21	5.46258	0.805479
22	5.66871	0.789041
23	5.82331	0.775342
24	6.08098	0.758904
25	6.33865	0.742466
26	6.49325	0.731507
27	6.69939	0.712329
28	7.00859	0.706849
29	7.16319	0.693151
30	7.31779	0.673973
31	7.52393	0.663014
32	7.67853	0.652055
33	7.88466	0.635616
34	8.2454	0.621918
35	8.45153	0.613699
36	8.8638	0.59726
37	8.96687	0.575342
38	9.22454	0.564384
39	9.58528	0.542466
40	9.84294	0.528767
41	9.94601	0.515068
42	10.4098	0.49863
43	10.8221	0.490411
44	11.1313	0.473973
45	11.5436	0.463014
46	11.8528	0.449315
47	12.2135	0.432877
48	12.5742	0.416438
49	12.935	0.405479
50	13.3988	0.39726
51	13.7595	0.378082
52	14.2233	0.367123
53	14.481	0.364384
54	14.8417	0.350685
55	15.2025	0.345205
56	15.4601	0.334247
57	15.8724	0.326027
58	16.1301	0.317808
59	16.4908	0.30411
60	16.9031	0.293151
61	17.1607	0.290411
62	17.3153	0.284932
63	17.8822	0.271233
64	18.346	0.254795
65	18.7583	0.254795
66	19.3252	0.252055
67	19.5313	0.246575
68	20.0982	0.246575
69	20.3043	0.246575
70	20.5104	0.246575
71	20.8712	0.238356
72	21.2319	0.230137
73	21.4896	0.230137
74	21.6442	0.230137
75	22.0049	0.230137
76	22.3656	0.224658
77	23.0356	0.219178
78	23.2417	0.208219
79	23.7571	0.19726
80	24.3755	0.186301
81	24.8908	0.186301
82	25.3031	0.186301
83	25.6638	0.180822
84	25.973	0.172603
85	26.3337	0.161644
86	26.6429	0.161644
87	27.1067	0.161644
88	27.8282	0.161644
89	28.1374	0.153425
90	28.5497	0.142466
91	29.065	0.142466
92	29.6319	0.142466
93	30.2503	0.142466
94	30.7141	0.139726
95	31.0233	0.139726
96	31.6417	0.139726
97	32.4663	0.139726
98	32.9301	0.139726
99	33.7546	0.139726
100	34.373	0.139726
101	34.9399	0.139726
102	35.816	0.139726
103	36.1767	0.139726
104	39	0
