k	time	survival
1	0.103067	0.99726
2	0.463804	0.991781
3	0.669939	0.986301
4	1.23681	0.975342
5	1.54601	0.964384
6	2.16442	0.961644
7	2.57669	0.950685
8	2.88589	0.931507
9	3.09202	0.926027
10	3.50429	0.915068
11	3.91656	0.89863
12	4.1227	0.876712
13	4.38037	0.865753
14	4.79264	0.849315
15	5.25644	0.830137
16	5.56564	0.821918
17	5.97791	0.805479
18	6.23558	0.794521
19	6.59632	0.778082
20	7.00859	0.767123
21	7.36933	0.742466
22	7.62699	0.728767
23	7.83313	0.717808
24	8.14233	0.706849
25	8.5546	0.69589
26	8.81227	0.679452
27	9.0184	0.660274
28	9.37914	0.641096
29	9.63681	0.624658
30	10.1006	0.608219
31	10.5129	0.591781
32	10.719	0.586301
33	11.1313	0.561644
34	11.6466	0.556164
35	12.0589	0.526027
36	12.4712	0.515068
37	13.0896	0.50411
38	13.4503	0.493151
39	13.9141	0.484932
40	14.3264	0.482192
41	14.6871	0.476712
42	14.9963	0.471233
43	15.3571	0.460274
44	15.5117	0.454795
45	15.6663	0.443836
46	16.0785	0.438356
47	16.3362	0.424658
48	16.6969	0.416438
49	17.2123	0.410959
50	17.573	0.4
51	17.9337	0.4
52	18.1914	0.394521
53	18.6037	0.389041
54	19.119	0.383562
55	19.4798	0.369863
56	19.7374	0.361644
57	20.0466	0.358904
58	20.1497	0.356164
59	20.4589	0.345205
60	20.7166	0.336986
61	21.438	0.334247
62	21.6442	0.334247
63	21.7472	0.334247
64	21.9534	0.323288
65	22.3656	0.320548
66	22.7264	0.320548
67	22.8294	0.320548
68	22.881	0.320548
69	23.1902	0.320548
70	23.3448	0.320548
71	23.6025	0.320548
72	23.9117	0.315068
73	24.1693	0.312329
74	24.6847	0.306849
75	25.0454	0.29589
76	25.3031	0.29589
77	25.5607	0.293151
78	25.973	0.293151
79	26.3853	0.290411
80	26.6945	0.287671
81	27.0037	0.284932
82	27.4675	0.284932
83	27.6736	0.284932
84	27.8282	0.273973
85	28.2405	0.265753
86	28.4466	0.263014
87	29.065	0.257534
88	29.3742	0.243836
89	29.735	0.235616
90	30.0957	0.227397
91	30.611	0.224658
92	30.9202	0.216438
93	31.1264	0.20274
94	31.7448	0.2
95	32.3117	0.2
96	33.0331	0.2
97	33.3939	0.2
98	33.8577	0.2
99	34.3215	0.2
100	34.9399	0.2
101	35.6098	0.2
102	35.919	0.2
103	35.9706	0.172603
104	36.0221	0.134247
105	36.0736	0.10411
106	36.5374	0.10411
107	37.1043	0.10411
108	37.6196	0.10411
109	38.2896	0.10411
110	39.011	0.10411
111	39.7325	0.10411
112	39.9387	0.10411
113	42	0
