"time"	"n.risk"	"n.event"	"n.censored"
0.154601	324	0	3
0.618405	321	4	1
0.82454	316	2	3
1.13374	311	4	2
1.44294	305	3	3
1.85521	299	1	2
2.06135	296	2	2
2.31902	292	2	2
2.67975	288	5	2
2.98896	281	3	0
3.19509	278	0	1
3.50429	277	3	0
3.76196	274	2	1
3.86503	271	4	0
4.01963	267	3	1
4.22577	263	3	0
4.38037	260	1	1
4.68957	258	3	0
4.89571	255	3	1
5.20491	251	3	1
5.46258	247	8	0
5.66871	239	5	1
5.82331	233	4	0
6.08098	229	5	0
6.33865	224	5	1
6.49325	218	3	0
6.69939	215	6	1
7.00859	208	1	0
7.16319	207	4	1
7.31779	202	6	0
7.52393	196	3	0
7.67853	193	3	1
7.88466	189	5	1
8.2454	183	4	0
8.45153	179	2	1
8.8638	176	5	0
8.96687	171	6	0
9.22454	165	3	0
9.58528	162	7	0
9.84294	155	4	0
9.94601	151	4	0
10.4098	147	4	0
10.8221	143	3	0
11.1313	140	4	0
11.5436	136	3	0
11.8528	133	4	0
12.2135	129	5	1
12.5742	123	5	1
12.935	117	3	1
13.3988	113	2	1
13.7595	110	5	2
14.2233	103	3	0
14.481	100	1	1
14.8417	98	4	1
15.2025	93	1	2
15.4601	90	3	3
15.8724	84	2	2
16.1301	80	2	3
16.4908	75	3	3
16.9031	69	3	3
17.1607	63	0	1
17.3153	62	2	4
17.8822	56	2	1
18.346	53	4	1
18.7583	48	0	1
19.3252	47	0	0
19.5313	47	1	2
20.0982	44	0	0
20.3043	44	0	1
20.5104	43	0	1
20.8712	42	1	0
21.2319	41	2	1
21.4896	38	0	0
21.6442	38	0	2
22.0049	36	0	1
22.3656	35	1	3
23.0356	31	1	1
23.2417	29	1	2
23.7571	26	1	2
24.3755	23	2	2
24.8908	19	0	1
25.3031	18	0	2
25.6638	16	0	1
25.973	15	1	1
26.3337	13	1	2
26.6429	10	0	1
27.1067	9	0	0
27.8282	9	0	1
28.1374	8	0	0
28.5497	8	1	1
29.065	6	0	1
29.6319	5	0	0
30.2503	5	0	0
30.7141	5	0	1
31.0233	4	0	1
31.6417	3	0	1
32.4663	2	0	0
32.9301	2	0	0
33.7546	2	0	0
34.373	2	0	1
34.9399	1	0	0
35.816	1	0	0
36.1767	1	0	0
39	0	0	0
