k	time	survival
1	0	1
2	0.463672	0.986264
3	0.824306	0.964286
4	1.23646	0.936813
5	1.39102	0.912088
6	1.49406	0.892857
7	1.64861	0.868132
8	1.75165	0.848901
9	2.00925	0.832418
10	2.31836	0.81044
11	2.57596	0.782967
12	2.78203	0.744505
13	2.83355	0.700549
14	2.88507	0.67033
15	2.98811	0.648352
16	3.40026	0.629121
17	3.91546	0.612637
18	4.22457	0.585165
19	4.27609	0.565934
20	4.43065	0.546703
21	4.73976	0.541209
22	5.1004	0.532967
23	5.51255	0.510989
24	5.61559	0.497253
25	5.71863	0.46978
26	5.87318	0.453297
27	6.1823	0.428571
28	6.64597	0.414835
29	6.90357	0.403846
30	7.00661	0.379121
31	7.05812	0.35989
32	7.2642	0.337912
33	7.88243	0.32967
34	8.24306	0.313187
35	8.39762	0.299451
36	8.55218	0.282967
37	8.70674	0.266484
38	9.01585	0.266484
39	9.27345	0.258242
40	9.63408	0.244505
41	9.84016	0.233516
42	9.99472	0.206044
43	10.6129	0.203297
44	11.0766	0.192308
45	11.5403	0.173077
46	11.9524	0.159341
47	12.5192	0.151099
48	12.8798	0.134615
49	13.395	0.123626
50	13.7556	0.112637
51	14.2193	0.104396
52	14.5799	0.0906593
53	15.3527	0.0906593
54	15.7649	0.0906593
55	16.177	0.0906593
56	16.9498	0.0906593
57	17.2589	0.0906593
58	17.5165	0.0769231
59	18.3408	0.0741758
60	19.1136	0.0741758
61	19.2682	0.0659341
62	19.7834	0.0659341
63	20.1955	0.0659341
64	20.6077	0.0659341
65	21.3804	0.0659341
66	21.9987	0.0659341
67	22.7199	0.0659341
68	23.1836	0.0659341
69	23.6473	0.0659341
70	24.5231	0.0659341
71	24.8322	0.0659341
72	25.4505	0.0659341
73	26.0687	0.0659341
74	26.4293	0.0467033
75	26.9445	0.0467033
76	27.2536	0.0467033
77	27.9234	0.0467033
78	28.7477	0.0467033
79	29.2629	0.0467033
80	30.0872	0.0467033
81	30.4993	0.0467033
82	31.4267	0.0467033
83	31.8904	0.0467033
84	32.8177	0.0467033
85	33.2814	0.0467033
86	36	0
