"time"	"n.risk"	"n.event"	"n.censored"
0	324	0	9
0.463672	315	4	8
0.824306	303	7	9
1.23646	287	8	3
1.39102	276	8	2
1.49406	266	5	3
1.64861	258	7	2
1.75165	249	6	6
2.00925	237	4	6
2.31836	227	6	6
2.57596	215	8	4
2.78203	203	10	1
2.83355	192	11	1
2.88507	180	8	2
2.98811	170	5	4
3.40026	161	5	5
3.91546	151	4	3
4.22457	144	7	0
4.27609	137	4	2
4.43065	131	4	3
4.73976	124	2	4
5.1004	118	2	4
5.51255	112	4	1
5.61559	107	3	1
5.71863	103	6	1
5.87318	96	3	3
6.1823	90	5	2
6.64597	83	3	1
6.90357	79	2	1
7.00661	76	4	0
7.05812	72	4	1
7.2642	67	4	3
7.88243	60	2	2
8.24306	56	2	0
8.39762	54	3	1
8.55218	50	3	1
8.70674	46	2	1
9.01585	43	0	1
9.27345	42	2	1
9.63408	39	2	1
9.84016	36	1	1
9.99472	34	4	2
10.6129	28	1	2
11.0766	25	1	2
11.5403	22	2	1
11.9524	19	2	0
12.5192	17	1	1
12.8798	15	1	0
13.395	14	1	1
13.7556	12	1	0
14.2193	11	1	1
14.5799	9	1	0
15.3527	8	0	0
15.7649	8	0	0
16.177	8	0	1
16.9498	7	0	0
17.2589	7	0	1
17.5165	6	1	0
18.3408	5	0	0
19.1136	5	0	0
19.2682	5	1	0
19.7834	4	0	0
20.1955	4	0	0
20.6077	4	0	0
21.3804	4	0	0
21.9987	4	0	0
22.7199	4	0	1
23.1836	3	0	0
23.6473	3	0	0
24.5231	3	0	0
24.8322	3	0	0
25.4505	3	0	0
26.0687	3	0	0
26.4293	3	1	0
26.9445	2	0	0
27.2536	2	0	0
27.9234	2	0	0
28.7477	2	0	0
29.2629	2	0	0
30.0872	2	0	0
30.4993	2	0	0
31.4267	2	0	1
31.8904	1	0	0
32.8177	1	0	0
33.2814	1	0	0
36	0	0	0
