k	time	survival
1	0	1
2	0.19951	0.999891
3	0.400245	0.998584
4	0.599755	0.996841
5	0.80049	0.993464
6	1	0.989978
7	1.19951	0.988344
8	1.40024	0.983115
9	1.59976	0.982026
10	1.80049	0.977778
11	2	0.973094
12	2.19951	0.967756
13	2.40024	0.958279
14	2.59976	0.954357
15	2.80049	0.950218
16	3	0.949455
17	3.19951	0.944227
18	3.40024	0.939216
19	3.59976	0.936275
20	3.80049	0.930828
21	4	0.925926
22	4.19951	0.914161
23	4.40024	0.908932
24	4.59976	0.905447
25	4.80049	0.899455
26	5	0.895425
27	5.19951	0.890523
28	5.40024	0.882353
29	5.59976	0.874074
30	5.80049	0.861002
31	6	0.856427
32	6.19951	0.844662
33	6.40024	0.837582
34	6.59976	0.821569
35	6.80049	0.804466
36	7	0.797603
37	7.19951	0.787473
38	7.40024	0.777887
39	7.59976	0.768192
40	7.80049	0.752832
41	8	0.743137
42	8.19951	0.726906
43	8.40024	0.715686
44	8.59976	0.711656
45	8.80049	0.692157
46	9	0.67963
47	9.19951	0.675708
48	9.40024	0.656754
49	9.59976	0.652723
50	9.80049	0.637364
51	10	0.617102
52	10.1995	0.600218
53	10.4002	0.580392
54	10.5998	0.576144
55	10.8005	0.567974
56	11	0.56024
57	11.1995	0.552179
58	11.4002	0.535294
59	11.5998	0.501961
60	11.8005	0.50196
61	12	0.498148
62	12.1995	0.493137
63	12.4002	0.488453
64	12.5998	0.483442
65	12.8005	0.46634
66	13	0.459041
67	13.1995	0.443573
68	13.4002	0.422767
69	13.5998	0.417102
70	13.8005	0.411329
71	14	0.405882
72	14.1995	0.40512
73	14.4002	0.397712
74	14.5998	0.388562
75	14.8005	0.375599
76	15	0.369499
77	15.1995	0.362309
78	15.4002	0.359586
79	15.5998	0.355882
80	15.8005	0.34085
81	16	0.340741
82	16.1995	0.340087
83	16.4002	0.323529
84	16.5998	0.32342
85	16.8005	0.31841
86	17	0.304793
87	17.1995	0.304684
88	17.4002	0.294444
89	17.5998	0.294118
90	17.8005	0.294009
91	18	0.293791
