k	time	survival
1	0.19951	0.995098
2	0.599755	0.991176
3	0.80049	0.988235
4	1.59976	0.988235
5	1.80049	0.98671
6	2	0.986492
7	2.19951	0.981917
8	2.40024	0.979847
9	2.59976	0.979847
10	2.80049	0.979847
11	3	0.966449
12	3.19951	0.966449
13	3.40024	0.962963
14	3.59976	0.962963
15	3.80049	0.959913
16	4	0.959804
17	4.19951	0.943028
18	4.40024	0.935948
19	4.59976	0.927778
20	4.80049	0.921024
21	5	0.91939
22	5.19951	0.917647
23	5.40024	0.912527
24	5.59976	0.899237
25	5.80049	0.893573
26	6	0.891939
27	6.19951	0.881917
28	6.40024	0.871133
29	6.59976	0.848039
30	6.80049	0.836492
31	7	0.834858
32	7.19951	0.82963
33	7.40024	0.813399
34	7.59976	0.808061
35	7.80049	0.795534
36	8	0.786275
37	8.19951	0.77549
38	8.40024	0.762963
39	8.59976	0.753704
40	8.80049	0.753377
41	9	0.75
42	9.19951	0.75
43	9.40024	0.740741
44	9.59976	0.727669
45	9.80049	0.719935
46	10	0.712309
47	10.1995	0.696405
48	10.4002	0.676471
49	10.5998	0.663943
50	10.8005	0.657843
51	11	0.653813
52	11.1995	0.651198
53	11.4002	0.640305
54	11.5998	0.633769
55	11.8005	0.629194
56	12	0.614815
57	12.1995	0.610131
58	12.4002	0.581481
59	12.5998	0.574183
60	12.8005	0.56024
61	13	0.554139
62	13.1995	0.554139
63	13.4002	0.554139
64	13.5998	0.554139
65	13.8005	0.554139
66	14	0.55098
67	14.1995	0.540305
68	14.4002	0.528649
69	14.5998	0.515142
70	14.8005	0.515142
71	15	0.511438
72	15.1995	0.5
73	15.4002	0.491939
74	15.5998	0.48366
75	15.8005	0.467211
76	16	0.458388
77	16.1995	0.458061
78	16.4002	0.448475
79	16.5998	0.43878
80	16.8005	0.438453
81	17	0.438453
82	17.1995	0.438453
83	17.4002	0.427015
84	17.5998	0.427015
85	17.8005	0.427015
86	18	0.426797
