"time"	"n.risk"	"n.event"	"n.censored"
0	298	0	0
0.19951	298	0	0
0.400245	298	0	0
0.599755	298	1	1
0.80049	296	1	0
1	295	1	0
1.19951	294	0	1
1.40024	293	2	0
1.59976	291	0	0
1.80049	291	2	0
2	289	1	0
2.19951	288	2	0
2.40024	286	2	0
2.59976	284	2	0
2.80049	282	1	1
3	280	0	0
3.19951	280	2	0
3.40024	278	1	0
3.59976	277	1	0
3.80049	276	1	0
4	275	2	0
4.19951	273	3	1
4.40024	269	2	0
4.59976	267	1	1
4.80049	265	2	1
5	262	1	0
5.19951	261	1	1
5.40024	259	3	0
5.59976	256	2	1
5.80049	253	4	0
6	249	1	1
6.19951	247	4	2
6.40024	241	2	2
6.59976	237	4	1
6.80049	232	5	2
7	225	2	2
7.19951	221	3	1
7.40024	217	2	2
7.59976	213	3	2
7.80049	208	4	1
8	203	3	1
8.19951	199	4	1
8.40024	194	3	1
8.59976	190	1	2
8.80049	187	5	1
9	181	4	1
9.19951	176	1	2
9.40024	173	4	1
9.59976	168	1	1
9.80049	166	4	1
10	161	5	1
10.1995	155	5	2
10.4002	148	5	2
10.5998	141	1	2
10.8005	138	2	2
11	134	1	2
11.1995	131	2	2
11.4002	127	4	2
11.5998	121	8	2
11.8005	111	0	1
12	110	1	2
12.1995	107	1	2
12.4002	104	1	2
12.5998	101	1	2
12.8005	98	3	2
13	93	2	2
13.1995	89	3	2
13.4002	84	4	2
13.5998	78	1	2
13.8005	75	1	2
14	72	1	2
14.1995	69	0	2
14.4002	67	1	2
14.5998	64	2	2
14.8005	60	2	3
15	55	0	2
15.1995	53	1	2
15.4002	50	1	2
15.5998	47	0	2
15.8005	45	2	2
16	41	0	1
16.1995	40	0	1
16.4002	39	2	1
16.5998	36	0	2
16.8005	34	1	1
17	32	1	1
17.1995	30	0	2
17.4002	28	1	1
17.5998	26	0	1
17.8005	25	0	0
18	24	0	0
