k	time	survival
1	0	1
2	0.19951	0.999891
3	0.400245	0.998802
4	0.599755	0.996405
5	0.80049	0.993246
6	1	0.989542
7	1.19951	0.986057
8	1.40024	0.916885
9	1.59976	0.896623
10	1.80049	0.883878
11	2	0.880501
12	2.19951	0.87854
13	2.40024	0.875381
14	2.59976	0.847495
15	2.80049	0.807298
16	3	0.785403
17	3.19951	0.778431
18	3.40024	0.764815
19	3.59976	0.756645
20	3.80049	0.756645
21	4	0.744989
22	4.19951	0.702832
23	4.40024	0.675272
24	4.59976	0.650763
25	4.80049	0.637473
26	5	0.622549
27	5.19951	0.612745
28	5.40024	0.553486
29	5.59976	0.491068
30	5.80049	0.411547
31	6	0.407081
32	6.19951	0.400327
33	6.40024	0.395861
34	6.59976	0.382353
35	6.80049	0.348693
36	7	0.247168
37	7.19951	0.216122
38	7.40024	0.211656
39	7.59976	0.211547
40	7.80049	0.20817
41	8	0.204684
42	8.19951	0.181373
43	8.40024	0.165033
44	8.59976	0.155882
45	8.80049	0.150871
46	9	0.148584
47	9.19951	0.146078
48	9.40024	0.146078
49	9.59976	0.139107
50	9.80049	0.130937
51	10	0.115795
52	10.1995	0.109913
53	10.4002	0.107734
54	10.5998	0.0992375
55	10.8005	0.0990196
56	11	0.0875817
57	11.1995	0.0720044
58	11.4002	0.0656863
59	11.5998	0.0578431
60	11.8005	0.0578431
61	12	0.0578431
62	12.1995	0.0578431
63	12.4002	0.0578431
64	12.5998	0.0578431
65	12.8005	0.0578431
66	13	0.0578431
67	13.1995	0.0578431
68	13.4002	0.0578431
69	13.5998	0.0578431
70	13.8005	0.0578431
71	14	0.05
72	14.1995	0.0453159
73	14.4002	0.0397603
74	14.5998	0.0397603
75	14.8005	0.0397603
76	15	0.0397603
77	15.1995	0.0397603
78	15.4002	0.0397603
79	15.5998	0.0397603
80	15.8005	0.0397603
81	16	0.0397603
82	16.1995	0.0397603
83	16.4002	0.0397603
84	16.5998	0.0397603
85	16.8005	0.0393246
86	18	0
