k	time	survival
1	0.19951	0.994771
2	0.599755	0.991176
3	0.80049	0.985948
4	1	0.984314
5	1.19951	0.977451
6	1.40024	0.948039
7	1.59976	0.931046
8	1.80049	0.925926
9	2	0.923965
10	2.19951	0.918954
11	2.40024	0.916885
12	2.59976	0.916885
13	2.80049	0.901089
14	3	0.870479
15	3.19951	0.863725
16	3.40024	0.863725
17	3.59976	0.863725
18	3.80049	0.861983
19	4	0.824074
20	4.19951	0.782135
21	4.40024	0.745207
22	4.59976	0.719063
23	4.80049	0.712309
24	5	0.710566
25	5.19951	0.708715
26	5.40024	0.681481
27	5.59976	0.612527
28	5.80049	0.559913
29	6	0.548257
30	6.19951	0.542375
31	6.40024	0.538671
32	6.59976	0.536819
33	6.80049	0.527015
34	7	0.48061
35	7.19951	0.44695
36	7.40024	0.436383
37	7.59976	0.424401
38	7.80049	0.410131
39	8	0.407952
40	8.19951	0.397821
41	8.40024	0.364052
42	8.59976	0.344118
43	8.80049	0.342157
44	9	0.342157
45	9.19951	0.342157
46	9.40024	0.342157
47	9.59976	0.3378
48	9.80049	0.319717
49	10	0.309259
50	10.1995	0.307407
51	10.4002	0.29902
52	10.5998	0.29902
53	10.8005	0.296623
54	11	0.274183
55	11.1995	0.272331
56	11.4002	0.272331
57	11.5998	0.272331
58	11.8005	0.269172
59	12	0.265904
60	12.1995	0.262745
61	12.4002	0.259695
62	12.5998	0.259586
63	12.8005	0.251743
64	13	0.247821
65	13.1995	0.2439
66	13.4002	0.2439
67	13.5998	0.23976
68	13.8005	0.234967
69	14	0.226253
70	14.1995	0.226253
71	14.4002	0.226253
72	14.5998	0.226253
73	14.8005	0.226253
74	15	0.226253
75	15.1995	0.220806
76	15.4002	0.215577
77	15.5998	0.215468
78	15.8005	0.215468
79	16	0.215468
80	16.1995	0.215468
81	16.4002	0.205664
82	16.5998	0.190632
83	16.8005	0.190632
84	17	0.190632
85	17.1995	0.190632
86	17.4002	0.190632
87	17.5998	0.190632
88	17.8005	0.190632
89	18	0.190632
