"time"	"n.risk"	"n.event"	"n.censored"
0.19951	298	0	3
0.599755	295	3	2
0.80049	290	1	1
1	288	1	2
1.19951	285	2	2
1.40024	281	8	1
1.59976	272	5	2
1.80049	265	1	1
2	263	1	0
2.19951	262	1	2
2.40024	259	1	0
2.59976	258	0	2
2.80049	256	4	1
3	251	9	0
3.19951	242	2	2
3.40024	238	0	0
3.59976	238	0	2
3.80049	236	0	0
4	236	11	1
4.19951	224	11	2
4.40024	211	10	1
4.59976	200	7	2
4.80049	191	2	1
5	188	0	1
5.19951	187	1	2
5.40024	184	7	1
5.59976	176	18	2
5.80049	156	13	1
6	142	3	0
6.19951	139	2	1
6.40024	136	0	0
6.59976	136	1	1
6.80049	134	2	1
7	131	12	0
7.19951	119	8	1
7.40024	110	3	0
7.59976	107	3	1
7.80049	103	3	0
8	100	1	1
8.19951	98	2	2
8.40024	94	8	2
8.59976	84	5	2
8.80049	77	0	2
9	75	0	2
9.19951	73	0	2
9.40024	71	0	2
9.59976	69	1	2
9.80049	66	4	1
10	61	2	1
10.1995	58	0	1
10.4002	57	2	1
10.5998	54	0	1
10.8005	53	0	1
11	52	4	1
11.1995	47	0	1
11.4002	46	0	1
11.5998	45	0	1
11.8005	44	1	1
12	42	0	1
12.1995	41	1	2
12.4002	38	0	1
12.5998	37	0	2
12.8005	35	1	1
13	33	1	1
13.1995	31	0	2
13.4002	29	0	1
13.5998	28	1	2
13.8005	25	0	1
14	24	1	0
14.1995	23	0	0
14.4002	23	0	1
14.5998	22	0	0
14.8005	22	0	1
15	21	0	0
15.1995	21	1	0
15.4002	20	0	1
15.5998	19	0	0
15.8005	19	0	0
16	19	0	0
16.1995	19	0	1
16.4002	18	1	1
16.5998	16	1	1
16.8005	14	0	1
17	13	0	1
17.1995	12	0	1
17.4002	11	0	1
17.5998	10	0	1
17.8005	9	0	0
18	9	0	0
