k	time	survival
1	0.129808	0.991837
2	0.454327	0.987755
3	0.778846	0.987755
4	1.10337	0.983673
5	1.23317	0.979592
6	1.36298	0.971429
7	1.6226	0.971429
8	1.94712	0.963265
9	2.33654	0.955102
10	2.53125	0.95102
11	2.92067	0.946939
12	3.3101	0.938776
13	3.63462	0.926531
14	3.89423	0.918367
15	4.15385	0.910204
16	4.21875	0.902041
17	4.41346	0.893878
18	4.67308	0.881633
19	4.93269	0.873469
20	5.19231	0.853061
21	5.25721	0.84898
22	5.58173	0.840816
23	5.77644	0.840816
24	5.90625	0.832653
25	6.10096	0.832653
26	6.23077	0.828571
27	6.49038	0.816327
28	6.62019	0.808163
29	6.8149	0.8
30	7.00962	0.787755
31	7.07452	0.77551
32	7.20433	0.763265
33	7.39904	0.746939
34	7.46394	0.738776
35	7.52885	0.726531
36	7.72356	0.710204
37	7.98317	0.710204
38	8.04808	0.689796
39	8.17788	0.681633
40	8.4375	0.677551
41	8.56731	0.669388
42	8.82692	0.669388
43	8.95673	0.669388
44	9.02163	0.657143
45	9.15144	0.64898
46	9.28125	0.632653
47	9.34615	0.628571
48	9.54087	0.62449
49	9.67067	0.612245
50	9.80048	0.604082
51	9.93029	0.595918
52	10.0601	0.595918
53	10.2548	0.587755
54	10.3846	0.579592
55	10.5144	0.563265
56	10.6442	0.546939
57	10.7091	0.534694
58	10.9038	0.518367
59	10.9688	0.506122
60	11.0986	0.489796
61	11.2933	0.489796
62	11.4231	0.477551
63	11.5529	0.461224
64	11.6178	0.436735
65	11.8125	0.436735
66	12.0721	0.436735
67	12.2668	0.436735
68	12.3966	0.420408
69	12.5264	0.395918
70	12.7212	0.395918
71	12.851	0.379592
72	13.0457	0.37551
73	13.1106	0.35102
74	13.2404	0.342857
75	13.5	0.330612
76	13.6298	0.330612
77	14.0192	0.330612
78	14.2139	0.326531
79	14.4087	0.310204
80	14.7332	0.310204
81	15.1226	0.310204
82	15.2524	0.289796
83	15.3822	0.277551
84	15.7067	0.277551
85	16.0313	0.277551
86	16.2909	0.261224
87	16.4856	0.257143
88	17.0048	0.257143
89	17.3942	0.257143
90	17.9784	0.257143
91	18.238	0.24898
92	18.4327	0.228571
93	18.5625	0.204082
94	18.8221	0.204082
95	19.2115	0.204082
96	19.2764	0.17551
97	19.5361	0.17551
98	19.8606	0.17551
99	20.3149	0.17551
100	20.7692	0.17551
101	21.4183	0.17551
102	21.9375	0.17551
103	22.4567	0.17551
104	22.7813	0.17551
105	23.4952	0.17551
106	23.8197	0.17551
107	24.4038	0.17551
108	24.5986	0.17551
109	27	0
