"time"	"n.risk"	"n.event"	"n.censored"
0.129808	257	0	0
0.454327	257	3	0
0.778846	254	0	1
1.10337	253	1	0
1.23317	252	1	0
1.36298	251	2	0
1.6226	249	0	0
1.94712	249	2	1
2.33654	246	2	0
2.53125	244	2	0
2.92067	242	1	6
3.3101	235	2	5
3.63462	228	3	4
3.89423	221	2	4
4.15385	215	1	1
4.21875	213	2	3
4.41346	208	2	5
4.67308	201	3	4
4.93269	194	2	4
5.19231	188	4	1
5.25721	183	1	5
5.58173	177	2	3
5.77644	172	0	2
5.90625	170	1	3
6.10096	166	0	2
6.23077	164	1	6
6.49038	157	3	2
6.62019	152	1	4
6.8149	147	2	4
7.00962	141	2	2
7.07452	137	2	3
7.20433	132	2	4
7.39904	126	3	1
7.46394	122	1	1
7.52885	120	2	4
7.72356	114	3	6
7.98317	105	0	1
8.04808	104	3	3
8.17788	98	1	5
8.4375	92	0	3
8.56731	89	1	5
8.82692	83	0	3
8.95673	80	0	1
9.02163	79	2	1
9.15144	76	1	1
9.28125	74	2	0
9.34615	72	0	2
9.54087	70	1	1
9.67067	68	1	1
9.80048	66	1	1
9.93029	64	1	1
10.0601	62	0	1
10.2548	61	0	1
10.3846	60	1	1
10.5144	58	2	1
10.6442	55	2	1
10.7091	52	1	1
10.9038	50	1	1
10.9688	48	1	1
11.0986	46	2	1
11.2933	43	0	1
11.4231	42	1	1
11.5529	40	1	1
11.6178	38	2	1
11.8125	35	0	2
12.0721	33	0	0
12.2668	33	0	0
12.3966	33	1	1
12.5264	31	2	0
12.7212	29	0	0
12.851	29	1	1
13.0457	27	1	0
13.1106	26	1	0
13.2404	25	1	1
13.5	23	1	0
13.6298	22	0	1
14.0192	21	0	0
14.2139	21	0	1
14.4087	20	1	1
14.7332	18	0	0
15.1226	18	0	0
15.2524	18	1	0
15.3822	17	1	0
15.7067	16	0	1
16.0313	15	0	0
16.2909	15	1	1
16.4856	13	0	1
17.0048	12	0	0
17.3942	12	0	1
17.9784	11	0	0
18.238	11	0	0
18.4327	11	1	0
18.5625	10	1	1
18.8221	8	0	0
19.2115	8	0	0
19.2764	8	1	1
19.5361	6	0	1
19.8606	5	0	0
20.3149	5	0	1
20.7692	4	0	1
21.4183	3	0	0
21.9375	3	0	1
22.4567	2	0	0
22.7813	2	0	1
23.4952	1	0	0
23.8197	1	0	0
24.4038	1	0	0
24.5986	1	0	0
27	0	0	0
