k	time	survival
1	0.117073	0.995851
2	0.409756	0.987552
3	0.702439	0.983402
4	0.819512	0.983402
5	0.995122	0.979253
6	1.22927	0.979253
7	1.2878	0.958506
8	1.34634	0.937759
9	1.40488	0.912863
10	1.46341	0.871369
11	1.58049	0.858921
12	1.69756	0.850622
13	1.81463	0.838174
14	2.10732	0.838174
15	2.16585	0.834025
16	2.34146	0.829876
17	2.51707	0.829876
18	2.63415	0.813278
19	2.75122	0.80083
20	2.80976	0.767635
21	2.86829	0.763485
22	2.98537	0.759336
23	3.10244	0.751037
24	3.21951	0.742739
25	3.45366	0.742739
26	3.6878	0.742739
27	3.80488	0.73444
28	3.92195	0.73029
29	3.98049	0.726141
30	4.03902	0.721992
31	4.09756	0.705394
32	4.1561	0.688797
33	4.27317	0.672199
34	4.33171	0.643154
35	4.39024	0.614108
36	4.50732	0.60166
37	4.56585	0.589212
38	4.85854	0.585062
39	5.03415	0.585062
40	5.15122	0.572614
41	5.26829	0.568465
42	5.38537	0.560166
43	5.4439	0.53527
44	5.50244	0.506224
45	5.56098	0.46888
46	5.61951	0.410788
47	5.67805	0.365145
48	5.73659	0.3361
49	5.79512	0.319502
50	5.85366	0.307054
51	6.20488	0.307054
52	6.32195	0.307054
53	6.43902	0.294606
54	6.67317	0.294606
55	6.73171	0.282158
56	6.84878	0.26556
57	6.96585	0.240664
58	7.02439	0.215768
59	7.08293	0.20332
60	7.14146	0.186722
61	7.31707	0.182573
62	7.49268	0.182573
63	7.60976	0.170124
64	7.90244	0.165975
65	8.13659	0.165975
66	8.25366	0.157676
67	8.37073	0.149378
68	8.42927	0.141079
69	8.60488	0.128631
70	9.01463	0.128631
71	9.13171	0.103734
72	9.65854	0.103734
73	9.71707	0.0871369
74	9.77561	0.0829876
75	9.83415	0.0746888
76	9.95122	0.0622407
77	10.0683	0.0580913
78	10.9463	0.0580913
79	11.5902	0.0580913
80	11.8244	0.0539419
81	12.2341	0.0539419
82	12.4098	0.0539419
83	12.4683	0.0373444
84	12.761	0.0373444
85	13.5805	0.0373444
86	13.8732	0.0373444
87	14.2829	0.0373444
88	14.8098	0.0373444
89	15.6878	0.0373444
90	16.0976	0.0373444
91	16.8	0.0373444
92	17.1512	0.0373444
93	17.6195	0.033195
94	17.9707	0.033195
95	18.439	0.033195
96	19.0244	0.033195
97	19.2585	0.033195
98	21	0
