k	time	survival
1	0.117073	0.995851
2	0.526829	0.995851
3	0.760976	0.995851
4	0.878049	0.991701
5	1.22927	0.991701
6	1.2878	0.975104
7	1.34634	0.966805
8	1.46341	0.954357
9	1.52195	0.937759
10	1.58049	0.929461
11	1.69756	0.921162
12	1.93171	0.912863
13	2.04878	0.908714
14	2.4	0.908714
15	2.57561	0.896266
16	2.69268	0.887967
17	2.75122	0.863071
18	2.86829	0.850622
19	3.0439	0.842324
20	3.33659	0.842324
21	3.45366	0.829876
22	3.57073	0.825726
23	3.74634	0.825726
24	3.86341	0.817427
25	3.98049	0.809129
26	4.03902	0.784232
27	4.09756	0.775934
28	4.1561	0.763485
29	4.21463	0.746888
30	4.33171	0.73444
31	4.50732	0.73029
32	4.68293	0.721992
33	4.85854	0.721992
34	4.91707	0.709544
35	5.03415	0.705394
36	5.09268	0.701245
37	5.20976	0.692946
38	5.32683	0.692946
39	5.38537	0.680498
40	5.4439	0.676349
41	5.50244	0.6639
42	5.56098	0.630705
43	5.61951	0.593361
44	5.67805	0.564315
45	5.73659	0.526971
46	5.79512	0.506224
47	5.85366	0.493776
48	5.9122	0.481328
49	5.97073	0.46473
50	6.0878	0.46473
51	6.32195	0.460581
52	6.5561	0.460581
53	6.67317	0.452282
54	6.84878	0.443983
55	6.90732	0.431535
56	7.08293	0.419087
57	7.2	0.406639
58	7.37561	0.406639
59	7.49268	0.39834
60	7.72683	0.39834
61	7.78537	0.394191
62	7.90244	0.390041
63	8.07805	0.381743
64	8.25366	0.373444
65	8.3122	0.365145
66	8.42927	0.360996
67	8.4878	0.348548
68	8.66341	0.340249
69	8.83902	0.33195
70	9.19024	0.33195
71	9.65854	0.327801
72	9.71707	0.302905
73	9.95122	0.298755
74	10.0683	0.290456
75	10.5951	0.290456
76	10.9463	0.290456
77	11.122	0.290456
78	11.2976	0.278008
79	11.9415	0.278008
80	12.1756	0.26556
81	12.2927	0.261411
82	12.4683	0.248963
83	12.9951	0.248963
84	13.1122	0.236515
85	13.2293	0.224066
86	13.4634	0.211618
87	14.1659	0.211618
88	14.6927	0.211618
89	15.1024	0.211618
90	15.6878	0.211618
91	16.2732	0.211618
92	16.8	0.211618
93	17.3268	0.211618
94	17.678	0.211618
95	18.1463	0.211618
96	18.7317	0.211618
97	19.3171	0.211618
98	20.1366	0.211618
99	20.5463	0.211618
100	21.3659	0.211618
101	24	0
