"time"	"n.risk"	"n.event"	"n.censored"
0.117073	257	0	4
0.526829	253	1	3
0.760976	249	0	1
0.878049	248	1	4
1.22927	243	0	1
1.2878	242	4	1
1.34634	237	2	1
1.46341	234	3	1
1.52195	230	4	1
1.58049	225	2	1
1.69756	222	2	3
1.93171	217	2	1
2.04878	214	1	4
2.4	209	0	2
2.57561	207	3	1
2.69268	203	2	1
2.75122	200	5	1
2.86829	194	3	2
3.0439	189	2	4
3.33659	183	0	2
3.45366	181	3	2
3.57073	176	1	3
3.74634	172	0	2
3.86341	170	1	2
3.98049	167	2	1
4.03902	164	5	1
4.09756	158	2	1
4.1561	155	2	1
4.21463	152	3	2
4.33171	147	3	3
4.50732	141	1	3
4.68293	137	1	3
4.85854	133	0	1
4.91707	132	3	2
5.03415	127	0	1
5.09268	126	1	2
5.20976	123	1	2
5.32683	120	0	1
5.38537	119	3	1
5.4439	115	0	1
5.50244	114	2	1
5.56098	111	6	1
5.61951	104	6	1
5.67805	97	5	1
5.73659	91	6	1
5.79512	84	3	1
5.85366	80	2	1
5.9122	77	2	1
5.97073	74	3	1
6.0878	70	0	1
6.32195	69	0	1
6.5561	68	0	1
6.67317	67	1	1
6.84878	65	2	0
6.90732	63	1	1
7.08293	61	2	1
7.2	58	2	1
7.37561	55	0	1
7.49268	54	1	1
7.72683	52	0	0
7.78537	52	1	1
7.90244	50	0	1
8.07805	49	1	1
8.25366	47	1	0
8.3122	46	1	1
8.42927	44	1	0
8.4878	43	1	1
8.66341	41	1	1
8.83902	39	1	2
9.19024	36	0	2
9.65854	34	0	0
9.71707	34	3	1
9.95122	30	0	0
10.0683	30	1	3
10.5951	26	0	1
10.9463	25	0	1
11.122	24	0	1
11.2976	23	1	2
11.9415	20	0	1
12.1756	19	1	0
12.2927	18	0	0
12.4683	18	1	1
12.9951	16	0	1
13.1122	15	1	0
13.2293	14	1	1
13.4634	12	0	1
14.1659	11	0	2
14.6927	9	0	0
15.1024	9	0	0
15.6878	9	0	1
16.2732	8	0	0
16.8	8	0	1
17.3268	7	0	0
17.678	7	0	0
18.1463	7	0	1
18.7317	6	0	1
19.3171	5	0	2
20.1366	3	0	1
20.5463	2	0	1
21.3659	1	0	0
24	0	0	0
