k	time	survival
1	0	1
2	0.508475	0.983607
3	0.813559	0.972678
4	1.11864	0.956284
5	1.52542	0.945355
6	1.9322	0.934426
7	2.44068	0.923497
8	2.64407	0.907104
9	3.05085	0.89071
10	3.35593	0.863388
11	3.76271	0.84153
12	4.0678	0.825137
13	4.47458	0.819672
14	4.67797	0.797814
15	4.88136	0.775956
16	5.08475	0.765027
17	5.38983	0.743169
18	5.79661	0.73224
19	6.10169	0.721311
20	6.30508	0.704918
21	6.50847	0.693989
22	6.61017	0.672131
23	7.01695	0.661202
24	7.22034	0.644809
25	7.52542	0.628415
26	7.72881	0.606557
27	7.9322	0.595628
28	8.13559	0.579235
29	8.33898	0.568306
30	8.64407	0.551913
31	8.94915	0.535519
32	9.25424	0.52459
33	9.55932	0.508197
34	9.76271	0.491803
35	10.0678	0.480874
36	10.3729	0.469945
37	10.678	0.453552
38	10.9831	0.442623
39	11.1864	0.42623
40	11.5932	0.409836
41	11.8983	0.393443
42	12	0.382514
43	12.5085	0.371585
44	12.8136	0.360656
45	13.2203	0.349727
46	13.6271	0.338798
47	13.9322	0.327869
48	14.1356	0.322404
49	14.4407	0.311475
50	14.8475	0.300546
51	15.1525	0.284153
52	15.5593	0.26776
53	16.0678	0.262295
54	16.4746	0.256831
55	16.8814	0.245902
56	17.1864	0.245902
57	17.3898	0.240437
58	17.7966	0.240437
59	18	0.234973
60	18.2034	0.229508
61	18.6102	0.224044
62	19.0169	0.218579
63	19.322	0.213115
64	19.8305	0.20765
65	20.1356	0.196721
66	20.5424	0.196721
67	20.8475	0.196721
68	21.1525	0.196721
69	21.3559	0.191257
70	21.8644	0.185792
71	22.2712	0.174863
72	22.5763	0.174863
73	22.9831	0.174863
74	23.4915	0.174863
75	23.7966	0.169399
76	24.1017	0.15847
77	24.7119	0.15847
78	25.4237	0.15847
79	25.8305	0.15847
80	26.2373	0.153005
81	27.0508	0.153005
82	27.7627	0.153005
83	28.0678	0.131148
84	28.8814	0.131148
85	29.2881	0.131148
86	29.4915	0.10929
87	30	0.103825
88	30.2034	0.0819672
89	31.2203	0.0819672
90	31.6271	0.0819672
91	32.0339	0.0819672
92	32.2373	0.0491803
93	32.8475	0.0382514
94	33.5593	0.0382514
95	36	0
