k	time	survival
1	0.429379	0.983607
2	1.19774	0.969642
3	1.9548	0.953855
4	2.72316	0.939891
5	3.38983	0.916211
6	3.9661	0.88646
7	4.51977	0.856102
8	5.12994	0.827565
9	5.75141	0.798421
10	6.32768	0.766849
11	6.85876	0.734062
12	7.40113	0.701882
13	8	0.672131
14	8.62147	0.644202
15	9.22034	0.615058
16	9.78531	0.584092
17	10.3616	0.553127
18	10.9944	0.526412
19	11.7062	0.505161
20	12.4633	0.489375
21	13.209	0.472374
22	13.9209	0.45173
23	14.6102	0.428658
24	15.322	0.408622
25	16.0791	0.394657
26	16.8475	0.381906
27	17.6158	0.367335
28	18.3729	0.35337
29	19.1525	0.341226
30	19.9322	0.327869
31	20.7006	0.313297
32	21.4689	0.302368
33	22.2599	0.295689
34	23.0734	0.290832
35	23.8644	0.282332
36	24.6215	0.26776
37	25.3672	0.254402
38	26.1469	0.244687
39	26.9266	0.234366
40	27.7062	0.223437
41	28.4972	0.218579
42	29.0847	0.218579
43	29.5932	0.218579
44	30.6102	0.218579
45	32.1356	0.218579
46	32.8475	0.218579
47	33.4576	0.218579
48	36	0
