"time"	"n.risk"	"n.event"	"n.censored"
0	376	0	0
0.508475	376	6	1
0.813559	369	4	0
1.11864	365	6	0
1.52542	359	5	1
1.9322	353	4	1
2.44068	348	4	0
2.64407	344	6	0
3.05085	338	6	0
3.35593	332	10	0
3.76271	322	8	0
4.0678	314	6	0
4.47458	308	2	0
4.67797	306	9	0
4.88136	297	8	0
5.08475	289	4	0
5.38983	285	8	0
5.79661	277	4	0
6.10169	273	4	0
6.30508	269	6	0
6.50847	263	4	0
6.61017	259	8	0
7.01695	251	4	0
7.22034	247	7	0
7.52542	240	6	0
7.72881	234	8	0
7.9322	226	4	0
8.13559	222	6	0
8.33898	216	4	0
8.64407	212	6	0
8.94915	206	6	0
9.25424	200	4	0
9.55932	196	7	0
9.76271	189	6	0
10.0678	183	4	0
10.3729	179	4	0
10.678	175	6	0
10.9831	169	4	0
11.1864	165	6	0
11.5932	159	6	0
11.8983	153	6	0
12	147	4	0
12.5085	143	4	1
12.8136	138	4	1
13.2203	133	5	1
13.6271	127	3	0
13.9322	124	4	1
14.1356	119	2	0
14.4407	117	4	1
14.8475	112	4	0
15.1525	108	6	0
15.5593	102	6	1
16.0678	95	2	1
16.4746	92	2	1
16.8814	89	4	0
17.1864	85	0	0
17.3898	85	2	1
17.7966	82	0	0
18	82	1	1
18.2034	80	2	2
18.6102	76	2	3
19.0169	71	2	1
19.322	68	2	4
19.8305	62	1	1
20.1356	60	3	3
20.5424	54	0	2
20.8475	52	0	1
21.1525	51	0	1
21.3559	50	2	3
21.8644	45	1	2
22.2712	42	2	2
22.5763	38	0	3
22.9831	35	0	3
23.4915	32	0	2
23.7966	30	1	1
24.1017	28	2	2
24.7119	24	0	2
25.4237	22	0	2
25.8305	20	0	1
26.2373	19	1	3
27.0508	15	0	2
27.7627	13	0	1
28.0678	12	2	2
28.8814	8	0	1
29.2881	7	0	1
29.4915	6	1	1
30	4	0	0
30.2034	4	1	0
31.2203	3	0	0
31.6271	3	0	0
32.0339	3	0	0
32.2373	3	1	0
32.8475	2	1	0
33.5593	1	0	0
36	0	0	0
