k	time	survival
1	0.101695	0.994536
2	0.508475	0.978142
3	0.711864	0.956284
4	1.11864	0.928962
5	1.32203	0.918033
6	1.52542	0.901639
7	1.72881	0.885246
8	1.9322	0.863388
9	2.0339	0.836066
10	2.13559	0.808743
11	2.33898	0.781421
12	2.74576	0.770492
13	3.15254	0.754098
14	3.25424	0.726776
15	3.66102	0.710383
16	3.86441	0.693989
17	3.9661	0.655738
18	4.0678	0.628415
19	4.16949	0.595628
20	4.27119	0.57377
21	4.47458	0.557377
22	4.77966	0.546448
23	5.08475	0.535519
24	5.38983	0.519126
25	5.59322	0.502732
26	5.79661	0.497268
27	5.89831	0.480874
28	6	0.442623
29	6.10169	0.409836
30	6.20339	0.338798
31	6.30508	0.306011
32	6.40678	0.289617
33	6.71186	0.278689
34	7.22034	0.278689
35	7.72881	0.273224
36	8.0339	0.251366
37	8.23729	0.229508
38	8.44068	0.196721
39	9.05085	0.191257
40	9.25424	0.180328
41	9.76271	0.174863
42	10.0678	0.15847
43	10.1695	0.147541
44	10.3729	0.136612
45	10.5763	0.125683
46	10.7797	0.125683
47	11.2881	0.120219
48	12	0.120219
49	12.2034	0.114754
50	12.3051	0.0983607
51	12.4068	0.0928962
52	12.8136	0.0874317
53	13.5254	0.0874317
54	14.1356	0.0874317
55	14.5424	0.0765027
56	15.1525	0.0765027
57	15.7627	0.0765027
58	16.2712	0.0765027
59	16.5763	0.0710383
60	16.9831	0.0601093
61	17.3898	0.0601093
62	18	0.0546448
63	18.6102	0.0546448
64	18.9153	0.0382514
65	19.4237	0.0327869
66	20.4407	0.0327869
67	20.9492	0.0327869
68	21.2542	0.0273224
69	22.0678	0.0273224
70	22.7797	0.0273224
71	23.4915	0.0273224
72	24.3051	0.0273224
73	25.5254	0.0273224
74	26.339	0.0273224
75	27.0508	0.0273224
76	30	0
