k	time	survival
1	0.101695	0.989071
2	0.305085	0.983607
3	0.508475	0.978142
4	0.915254	0.967213
5	1.32203	0.956284
6	1.52542	0.939891
7	1.83051	0.939891
8	1.9322	0.912568
9	2.0339	0.885246
10	2.13559	0.852459
11	2.33898	0.836066
12	2.64407	0.819672
13	3.05085	0.819672
14	3.25424	0.803279
15	3.66102	0.797814
16	3.86441	0.79235
17	3.9661	0.754098
18	4.0678	0.726776
19	4.16949	0.704918
20	4.27119	0.68306
21	4.37288	0.666667
22	4.77966	0.666667
23	5.08475	0.655738
24	5.28814	0.644809
25	5.59322	0.628415
26	5.79661	0.617486
27	5.89831	0.590164
28	6.10169	0.568306
29	6.20339	0.519126
30	6.40678	0.47541
31	6.71186	0.448087
32	7.11864	0.431694
33	7.52542	0.420765
34	7.9322	0.404372
35	8.0339	0.377049
36	8.13559	0.349727
37	8.23729	0.327869
38	8.44068	0.311475
39	8.74576	0.295082
40	9.35593	0.295082
41	9.9661	0.295082
42	10.2712	0.284153
43	10.4746	0.256831
44	10.9831	0.256831
45	11.3898	0.251366
46	11.6949	0.245902
47	12.4068	0.224044
48	13.1186	0.224044
49	13.9322	0.218579
50	14.339	0.218579
51	14.5424	0.185792
52	14.9492	0.174863
53	15.661	0.174863
54	16.1695	0.169399
55	16.4746	0.163934
56	16.8814	0.15847
57	17.5932	0.15847
58	18.1017	0.15847
59	18.8136	0.15847
60	19.2203	0.147541
61	19.7288	0.147541
62	20.1356	0.136612
63	20.5424	0.136612
64	20.9492	0.120219
65	21.3559	0.120219
66	21.8644	0.120219
67	22.678	0.120219
68	23.2881	0.120219
69	23.6949	0.120219
70	24	0.10929
71	24.4068	0.103825
72	24.8136	0.103825
73	25.0169	0.0928962
74	25.5254	0.0874317
75	26.2373	0.0874317
76	26.7458	0.0874317
77	27.3559	0.0874317
78	28.2712	0.0874317
79	28.8814	0.0874317
80	28.9831	0.0546448
81	29.8983	0.0491803
82	30.8136	0.0491803
83	32.0339	0.0491803
84	32.8475	0.0491803
85	33	0
