"time"	"n.risk"	"n.event"	"n.censored"
0.101695	376	0	1
0.508475	375	8	1
0.711864	366	8	2
1.11864	356	11	1
1.32203	344	4	1
1.52542	339	6	1
1.72881	332	6	1
1.9322	325	8	0
2.0339	317	10	1
2.13559	306	10	1
2.33898	295	10	2
2.74576	283	4	1
3.15254	278	6	0
3.25424	272	10	0
3.66102	262	5	0
3.86441	257	6	0
3.9661	251	14	0
4.0678	237	10	1
4.16949	226	12	0
4.27119	214	8	0
4.47458	206	6	0
4.77966	200	4	1
5.08475	195	3	0
5.38983	192	6	0
5.59322	186	6	0
5.79661	180	2	0
5.89831	178	6	0
6	172	14	0
6.10169	158	11	0
6.20339	147	26	1
6.30508	120	11	0
6.40678	109	6	1
6.71186	102	4	2
7.22034	96	0	2
7.72881	94	2	2
8.0339	90	7	0
8.23729	83	7	1
8.44068	75	11	2
9.05085	62	2	0
9.25424	60	3	0
9.76271	57	2	1
10.0678	54	5	0
10.1695	49	3	0
10.3729	46	4	0
10.5763	42	3	0
10.7797	39	0	1
11.2881	38	2	0
12	36	0	0
12.2034	36	1	0
12.3051	35	5	0
12.4068	30	2	0
12.8136	28	2	0
13.5254	26	0	1
14.1356	25	0	0
14.5424	25	3	0
15.1525	22	0	1
15.7627	21	0	0
16.2712	21	0	1
16.5763	20	1	1
16.9831	18	3	0
17.3898	15	0	1
18	14	1	0
18.6102	13	0	0
18.9153	13	4	1
19.4237	8	1	1
20.4407	6	0	0
20.9492	6	0	0
21.2542	6	1	1
22.0678	4	0	1
22.7797	3	0	0
23.4915	3	0	1
24.3051	2	0	0
25.5254	2	0	1
26.339	1	0	0
27.0508	1	0	0
30	0	0	0
