k	time	survival
1	0.2	0.992966
2	0.4	0.992966
3	0.6	0.990428
4	0.8	0.988174
5	1	0.988174
6	1.2	0.988174
7	1.4	0.988174
8	1.6	0.988174
9	1.8	0.983198
10	2	0.978585
11	2.2	0.972417
12	2.4	0.969911
13	2.6	0.967711
14	2.8	0.964288
15	3	0.95389
16	3.2	0.949817
17	3.4	0.949817
18	3.6	0.94442
19	3.8	0.942858
20	4	0.932815
21	4.2	0.929912
22	4.4	0.921188
23	4.6	0.915889
24	4.8	0.909064
25	5	0.905467
26	5.2	0.902504
27	5.4	0.897076
28	5.6	0.894679
29	5.8	0.891605
30	6	0.887556
31	6.2	0.882018
32	6.4	0.87215
33	6.6	0.865911
34	6.8	0.863171
35	7	0.861118
36	7.2	0.848904
37	7.4	0.828135
38	7.6	0.824869
39	7.8	0.817604
40	8	0.81149
41	8.2	0.798189
42	8.4	0.790505
43	8.6	0.787076
44	8.8	0.784407
45	9	0.770037
46	9.2	0.758794
47	9.4	0.749341
48	9.6	0.737466
49	9.8	0.725116
50	10	0.716244
51	10.2	0.706759
52	10.4	0.692715
53	10.6	0.677158
54	10.8	0.674135
55	11	0.671921
56	11.2	0.660867
57	11.4	0.651995
58	11.6	0.646761
59	11.8	0.640648
60	12	0.637881
61	12.2	0.630976
62	12.4	0.624984
63	12.6	0.619192
64	12.8	0.614735
65	13	0.611848
66	13.2	0.607178
67	13.4	0.598993
68	13.6	0.583351
69	13.8	0.574875
70	14	0.572861
71	14.2	0.570069
72	14.4	0.566175
73	14.6	0.562076
74	14.8	0.55899
75	15	0.557089
76	15.2	0.551754
77	15.4	0.543576
78	15.6	0.537125
79	15.8	0.532362
80	16	0.532362
81	16.2	0.512154
82	16.4	0.503111
83	16.6	0.501399
84	16.8	0.49311
85	17	0.490899
86	17.2	0.488061
87	17.4	0.48771
88	17.6	0.485696
89	17.8	0.481786
90	18	0.479504
91	18.2	0.474104
92	18.4	0.462906
93	18.6	0.462906
94	18.8	0.462906
95	19	0.462906
96	19.2	0.462906
97	19.4	0.449364
98	19.6	0.442379
99	19.8	0.432924
100	20	0.42965
101	20.2	0.429632
102	20.4	0.429632
103	20.6	0.429632
104	20.8	0.429632
105	21	0.429632
106	21.2	0.429632
107	21.4	0.429632
108	21.6	0.422723
109	21.8	0.412838
110	22	0.412838
111	22.2	0.404748
112	22.4	0.391181
113	22.6	0.390052
114	22.8	0.390052
115	23	0.390052
116	23.2	0.390052
117	23.4	0.390052
118	23.6	0.390052
119	23.8	0.390052
120	24	0.390052
121	24.2	0.390052
122	24.4	0.390052
123	24.6	0.390052
124	24.8	0.390052
125	25	0.390052
126	25.2	0.390052
127	25.4	0.390052
128	25.6	0.390052
129	25.8	0.390052
130	26	0.390052
131	26.2	0.390052
132	26.4	0.390052
133	26.6	0.390052
134	26.8	0.390052
135	27	0.390052
