k	time	survival
1	0.2	1
2	0.4	0.985
3	0.6	0.977327167
4	0.8	0.97683118
5	1	0.976818266
6	1.2	0.976818266
7	1.4	0.976818266
8	1.6	0.975276086
9	1.8	0.972310787
10	2	0.960573106
11	2.2	0.952548868
12	2.4	0.947806835
13	2.6	0.936716447
14	2.8	0.925914654
15	3	0.917122122
16	3.2	0.915091618
17	3.4	0.911467042
18	3.6	0.900319681
19	3.8	0.89668115
20	4	0.889375208
21	4.2	0.874051084
22	4.4	0.873070253
23	4.6	0.873070253
24	4.8	0.86560627
25	5	0.861493685
26	5.2	0.845217622
27	5.4	0.837081459
28	5.6	0.828041889
29	5.8	0.817957536
30	6	0.801288336
31	6.2	0.784227867
32	6.4	0.768505701
33	6.6	0.757813695
34	6.8	0.744164848
35	7	0.723213376
36	7.2	0.716482186
37	7.4	0.707944414
38	7.6	0.704204913
39	7.8	0.697015793
40	8	0.690359633
41	8.2	0.682015165
42	8.4	0.669189799
43	8.6	0.656148406
44	8.8	0.646859454
45	9	0.636133157
46	9.2	0.632493337
47	9.4	0.620212424
48	9.6	0.609514342
49	9.8	0.598939652
50	10	0.587006409
51	10.2	0.578343939
52	10.4	0.57073238
53	10.6	0.564784351
54	10.8	0.562127414
55	11	0.559110434
56	11.2	0.546606993
57	11.4	0.52733219
58	11.6	0.523862788
59	11.8	0.519199673
60	12	0.515264078
61	12.2	0.504879148
62	12.4	0.500103891
63	12.6	0.497979125
64	12.8	0.477988191
65	13	0.475384207
66	13.2	0.47513069
67	13.4	0.466126073
68	13.6	0.463287357
69	13.8	0.456415167
70	14	0.451124875
71	14.2	0.450292892
72	14.4	0.448896869
73	14.6	0.434989267
74	14.8	0.422473546
75	15	0.420582757
76	15.2	0.40904881
77	15.4	0.400948325
78	15.6	0.399033481
79	15.8	0.388232399
80	16	0.384688297
81	16.2	0.384688297
82	16.4	0.376831539
83	16.6	0.365794236
84	16.8	0.358178374
85	17	0.3538565
86	17.2	0.351044736
87	17.4	0.346222776
88	17.6	0.34404885
89	17.8	0.34404885
90	18	0.337360802
91	18.2	0.323209626
92	18.4	0.314907892
93	18.6	0.30638049
94	18.8	0.30062865
95	19	0.296666008
96	19.2	0.29582157
97	19.4	0.293122282
98	19.6	0.286111057
99	19.8	0.286111057
100	20	0.275016199
101	20.2	0.27111304
102	20.4	0.26197132
103	20.6	0.26197132
104	20.8	0.26197132
105	21	0.24961679
106	21.2	0.234340253
107	21.4	0.233069803
108	21.6	0.233069803
109	21.8	0.218800914
110	22	0.218800914
111	22.2	0.207907161
112	22.4	0.201865493
113	22.6	0.201865493
114	22.8	0.201865493
115	23	0.200685453
116	23.2	0.180524454
117	23.4	0.180298546
118	23.6	0.180072344
119	23.8	0.176632297
120	24	0.158732518
121	24.2	0.158732518
122	24.4	0.158732518
123	24.6	0.158732518
124	24.8	0.158732518
125	25	0.158732518
126	25.2	0.158732518
127	25.4	0.158732518
128	25.6	0.158732518
129	25.8	0.158732518
130	26	0.158732518
131	26.2	0.158732518
132	26.4	0.158732518
133	26.6	0.158732518
134	26.8	0.158732518
135	27	0.158732518
