"time"	"n.risk"	"n.event"	"n.censored"
0.2	327	0	0
0.4	327	5	0
0.6	322	2	0
0.8	320	1	0
1	319	0	0
1.2	319	0	0
1.4	319	0	0
1.6	319	0	0
1.8	319	1	0
2	318	4	0
2.2	314	3	0
2.4	311	1	0
2.6	310	4	0
2.8	306	3	0
3	303	3	0
3.2	300	1	0
3.4	299	1	0
3.6	298	4	0
3.8	294	1	0
4	293	2	0
4.2	291	5	0
4.4	286	1	0
4.6	285	0	0
4.8	285	2	0
5	283	1	0
5.2	282	6	0
5.4	276	2	0
5.6	274	3	0
5.8	271	4	0
6	267	5	0
6.2	262	6	0
6.4	256	5	0
6.6	251	3	0
6.8	248	5	0
7	243	7	0
7.2	236	2	0
7.4	234	3	0
7.6	231	1	0
7.8	230	2	0
8	228	2	0
8.2	226	3	0
8.4	223	4	0
8.6	219	4	0
8.8	215	3	0
9	212	4	0
9.2	208	1	0
9.4	207	4	1
9.6	202	4	0
9.8	198	3	1
10	194	4	1
10.2	189	3	0
10.4	186	2	1
10.6	183	2	0
10.8	181	1	1
11	179	1	1
11.2	177	4	0
11.4	173	6	1
11.6	166	1	0
11.8	165	2	1
12	162	1	0
12.2	161	3	2
12.4	156	2	2
12.6	152	0	2
12.8	150	6	2
13	142	1	2
13.2	139	0	2
13.4	137	3	2
13.6	132	0	2
13.8	130	2	2
14	126	2	2
14.2	122	0	2
14.4	120	0	2
14.6	118	4	2
14.8	112	3	2
15	107	1	1
15.2	105	3	2
15.4	100	2	2
15.6	96	0	3
15.8	93	3	2
16	88	0	3
16.2	85	0	2
16.4	83	2	2
16.6	79	2	3
16.8	74	2	2
17	70	1	3
17.2	66	0	2
17.4	64	1	2
17.6	61	1	3
17.8	57	0	2
18	55	1	2
18.2	52	2	1
18.4	49	1	1
18.6	47	1	1
18.8	45	1	1
19	43	1	1
19.2	41	0	1
19.4	40	0	1
19.6	39	1	2
19.8	36	0	1
20	35	2	1
20.2	32	0	1
20.4	31	1	1
20.6	29	0	1
20.8	28	0	1
21	27	1	1
21.2	25	2	0
21.4	23	0	0
21.6	23	0	1
21.8	22	1	0
22	21	0	1
22.2	20	1	0
22.4	19	1	1
22.6	17	0	0
22.8	17	0	1
23	16	0	0
23.2	16	2	1
23.4	13	0	0
23.6	13	0	1
23.8	12	0	0
24	12	1	0
24.2	11	0	0
24.4	11	0	1
24.6	10	0	1
24.8	9	0	0
25	9	0	1
25.2	8	0	1
25.4	7	0	1
25.6	6	0	0
25.8	6	0	1
26	5	0	1
26.2	4	0	0
26.4	4	0	1
26.6	3	0	1
26.8	2	0	0
27	2	0	0
