k	time	survival
1	0.0518135	1
2	0.310881	1
3	0.569948	0.995146
4	0.673575	0.990291
5	0.880829	0.990291
6	0.984456	0.975728
7	1.1399	0.970874
8	1.29534	0.961165
9	1.39896	0.941748
10	1.45078	0.92233
11	1.50259	0.907767
12	1.81347	0.88835
13	1.9171	0.883495
14	2.12435	0.873786
15	2.27979	0.864078
16	2.48705	0.854369
17	2.6943	0.849515
18	2.79793	0.825243
19	2.84974	0.805825
20	2.90155	0.776699
21	3.00518	0.76699
22	3.10881	0.757282
23	3.26425	0.752427
24	3.41969	0.747573
25	3.52332	0.737864
26	3.78238	0.737864
27	3.8342	0.728155
28	4.04145	0.703883
29	4.09326	0.684466
30	4.14508	0.660194
31	4.35233	0.621359
32	4.45596	0.616505
33	4.71503	0.601942
34	4.81865	0.601942
35	5.12953	0.592233
36	5.23316	0.582524
37	5.44041	0.563107
38	5.54404	0.543689
39	5.64767	0.514563
40	5.69948	0.504854
41	5.90674	0.490291
42	6.01036	0.485437
43	6.21762	0.475728
44	6.42487	0.466019
45	6.58031	0.456311
46	6.78756	0.446602
47	6.89119	0.417476
48	6.99482	0.412621
49	7.09845	0.383495
50	7.15026	0.368932
51	7.35751	0.359223
52	7.56477	0.354369
53	7.72021	0.349515
54	7.97927	0.349515
55	8.03109	0.34466
56	8.18653	0.330097
57	8.23834	0.315534
58	8.29016	0.31068
59	8.4456	0.291262
60	8.49741	0.281553
61	8.75648	0.262136
62	8.8601	0.252427
63	9.2228	0.252427
64	9.53368	0.252427
65	9.63731	0.23301
66	9.68912	0.223301
67	9.74093	0.213592
68	9.84456	0.199029
69	10	0.18932
70	10.2591	0.179612
71	10.4145	0.174757
72	10.7254	0.174757
73	10.9326	0.160194
74	11.1399	0.160194
75	11.2953	0.160194
76	11.4508	0.150485
77	11.7617	0.150485
78	11.9171	0.150485
79	12.2798	0.145631
80	12.5389	0.145631
81	12.9016	0.145631
82	13.0052	0.140777
83	13.3679	0.131068
84	13.5751	0.126214
85	13.7824	0.11165
86	13.8342	0.101942
87	14.1969	0.0970874
88	14.4041	0.0970874
89	14.715	0.0970874
90	14.9741	0.0970874
91	15.3886	0.0873786
92	15.4922	0.0873786
93	15.8031	0.0873786
94	16.0104	0.0873786
95	16.4249	0.0873786
96	16.5803	0.0873786
97	16.6839	0.0776699
98	16.8394	0.0679612
99	16.9948	0.0679612
100	17.3575	0.0679612
101	17.5648	0.0679612
102	17.9793	0.0679612
103	18.2383	0.0679612
104	18.601	0.0679612
105	18.8083	0.0679612
106	19.3264	0.0679612
107	19.5337	0.0679612
108	19.7409	0.0679612
109	20	0.0679612
110	20.3627	0.0679612
111	20.6218	0.0679612
112	20.9326	0.0679612
113	21.1399	0.0679612
114	21.5026	0.0679612
115	21.8135	0.0679612
116	22.1244	0.0679612
117	22.3316	0.0679612
118	22.6943	0.0679612
119	23.057	0.0679612
120	23.4715	0.0679612
121	24.0933	0.0679612
122	24.2487	0.0679612
123	27	0
