k	time	survival
1	0.0518135	1
2	0.310881	1
3	0.621762	1
4	0.829016	0.995146
5	1.1399	0.995146
6	1.24352	0.995146
7	1.34715	0.980583
8	1.50259	0.970874
9	1.60622	0.961165
10	1.81347	0.956311
11	2.02073	0.956311
12	2.22798	0.951456
13	2.43523	0.946602
14	2.59067	0.941748
15	2.74611	0.932039
16	2.79793	0.917476
17	2.90155	0.907767
18	3.00518	0.893204
19	3.21244	0.883495
20	3.4715	0.878641
21	3.62694	0.873786
22	3.8342	0.864078
23	3.93782	0.849515
24	4.04145	0.84466
25	4.14508	0.830097
26	4.19689	0.81068
27	4.2487	0.800971
28	4.35233	0.776699
29	4.50777	0.76699
30	4.66321	0.762136
31	4.92228	0.762136
32	5.07772	0.757282
33	5.33679	0.747573
34	5.44041	0.723301
35	5.54404	0.703883
36	5.64767	0.674757
37	5.80311	0.650485
38	5.90674	0.626214
39	6.1658	0.621359
40	6.42487	0.621359
41	6.5285	0.61165
42	6.73575	0.606796
43	6.78756	0.592233
44	6.89119	0.572816
45	7.04663	0.558252
46	7.09845	0.538835
47	7.15026	0.514563
48	7.20207	0.5
49	7.40933	0.495146
50	7.72021	0.495146
51	8.03109	0.495146
52	8.18653	0.485437
53	8.29016	0.470874
54	8.49741	0.451456
55	8.80829	0.446602
56	9.17098	0.446602
57	9.53368	0.446602
58	9.63731	0.436893
59	9.79275	0.427184
60	10	0.412621
61	10.3109	0.412621
62	10.7254	0.412621
63	10.9845	0.412621
64	11.1917	0.398058
65	11.5026	0.38835
66	11.658	0.383495
67	11.9171	0.383495
68	12.0725	0.373786
69	12.2798	0.373786
70	12.4352	0.368932
71	12.5389	0.364078
72	12.7461	0.359223
73	13.0052	0.359223
74	13.3161	0.359223
75	13.5751	0.359223
76	13.6788	0.349515
77	13.7824	0.34466
78	13.886	0.334951
79	13.9896	0.325243
80	14.3005	0.325243
81	14.5596	0.325243
82	14.8187	0.325243
83	15.0259	0.315534
84	15.285	0.315534
85	15.4404	0.305825
86	15.7513	0.305825
87	16.114	0.305825
88	16.4767	0.305825
89	16.6321	0.296117
90	16.7358	0.271845
91	16.8394	0.257282
92	16.943	0.247573
93	17.1503	0.242718
94	17.5648	0.242718
95	17.8238	0.242718
96	18.0829	0.242718
97	18.1865	0.223301
98	18.3938	0.213592
99	18.7565	0.208738
100	19.1192	0.208738
101	19.4301	0.208738
102	19.6373	0.208738
103	19.7409	0.208738
104	20.1036	0.208738
105	20.3627	0.208738
106	20.6736	0.208738
107	20.9845	0.208738
108	21.399	0.208738
109	21.658	0.208738
110	21.7098	0.18932
111	22.0725	0.174757
112	22.487	0.174757
113	23.1088	0.174757
114	23.3161	0.174757
115	23.7306	0.174757
116	24.3005	0.174757
117	24.6632	0.174757
118	24.8187	0.174757
119	25.1295	0.174757
120	25.4922	0.174757
121	25.8549	0.174757
122	26.114	0.174757
123	26.4249	0.174757
124	26.7876	0.174757
125	27.2539	0.174757
126	27.5648	0.174757
127	30	0
