"time"	"n.risk"	"n.event"	"n.censored"
0.0518135	327	0	3
0.310881	324	0	4
0.621762	320	0	3
0.829016	317	2	4
1.1399	311	0	2
1.24352	309	0	1
1.34715	308	4	2
1.50259	302	3	2
1.60622	297	3	2
1.81347	292	1	3
2.02073	288	0	3
2.22798	285	2	3
2.43523	280	1	2
2.59067	277	2	2
2.74611	273	3	1
2.79793	269	4	1
2.90155	264	3	1
3.00518	260	4	0
3.21244	256	3	1
3.4715	252	1	0
3.62694	251	1	1
3.8342	249	3	0
3.93782	246	4	0
4.04145	242	2	0
4.14508	240	4	1
4.19689	235	5	0
4.2487	230	3	0
4.35233	227	7	0
4.50777	220	3	1
4.66321	216	1	0
4.92228	215	0	1
5.07772	214	1	0
5.33679	213	3	1
5.44041	209	7	0
5.54404	202	5	0
5.64767	197	8	1
5.80311	188	7	0
5.90674	181	7	0
6.1658	174	1	1
6.42487	172	0	0
6.5285	172	3	1
6.73575	168	1	1
6.78756	166	4	0
6.89119	162	6	1
7.04663	155	4	0
7.09845	151	5	0
7.15026	146	6	1
7.20207	139	4	1
7.40933	134	2	1
7.72021	131	0	2
8.03109	129	0	1
8.18653	128	2	0
8.29016	126	4	1
8.49741	121	5	2
8.80829	114	1	1
9.17098	112	0	3
9.53368	109	0	1
9.63731	108	2	2
9.79275	104	3	2
10	99	3	3
10.3109	93	0	4
10.7254	89	0	3
10.9845	86	0	2
11.1917	84	3	3
11.5026	78	2	1
11.658	75	1	3
11.9171	71	0	1
12.0725	70	2	1
12.2798	67	0	1
12.4352	66	1	1
12.5389	64	0	1
12.7461	63	1	2
13.0052	60	0	2
13.3161	58	0	2
13.5751	56	0	0
13.6788	56	2	1
13.7824	53	0	1
13.886	52	2	0
13.9896	50	1	3
14.3005	46	0	1
14.5596	45	0	2
14.8187	43	0	1
15.0259	42	2	1
15.285	39	0	1
15.4404	38	1	2
15.7513	35	0	2
16.114	33	0	2
16.4767	31	0	0
16.6321	31	1	1
16.7358	29	2	1
16.8394	26	2	0
16.943	24	0	1
17.1503	23	1	3
17.5648	19	0	1
17.8238	18	0	1
18.0829	17	0	0
18.1865	17	1	0
18.3938	16	1	2
18.7565	13	0	1
19.1192	12	0	1
19.4301	11	0	0
19.6373	11	0	0
19.7409	11	0	2
20.1036	9	0	0
20.3627	9	0	1
20.6736	8	0	1
20.9845	7	0	1
21.399	6	0	0
21.658	6	0	0
21.7098	6	1	0
22.0725	5	0	1
22.487	4	0	0
23.1088	4	0	0
23.3161	4	0	1
23.7306	3	0	0
24.3005	3	0	0
24.6632	3	0	0
24.8187	3	0	0
25.1295	3	0	1
25.4922	2	0	0
25.8549	2	0	0
26.114	2	0	1
26.4249	1	0	0
26.7876	1	0	0
27.2539	1	0	0
27.5648	1	0	0
30	0	0	0
