"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta[1]",-0.122556673552894,0.564630019772669,-1.220775,-0.5678,-0.07887,0.3255,0.95261,1.50371608782689,7
"beta[2]",-0.359902414121756,0.236517111077682,-0.82329,-0.5229,-0.36475,-0.1861,0.08929025,1.25424095494397,13
"beta[3]",-0.0250138093812375,0.433819584322841,-0.861215,-0.35895,0.01962,0.290025,0.722605,1.0982419539729,25
"beta[4]",-0.392067431137725,0.276624272548764,-0.953425,-0.5886,-0.3739,-0.17605,0.0844435000000001,1.1021855972004,53
"beta[5]",-0.972259459081836,0.379886323022363,-1.707825,-1.23475,-0.9675,-0.7299,-0.119669999999999,1.14351446137182,23
"beta[6]",-2.0554870259481,0.320906013751185,-2.70895,-2.2565,-2.0365,-1.824,-1.456275,1.05044629080197,51
"beta[7]",-0.0829228253493014,0.215991896933264,-0.4982,-0.25165,-0.0922,0.07995,0.3221,1.51688663349043,7
"beta[8]",0.0157133889221557,0.0799924959435306,-0.1396,-0.0394275,0.01735,0.06814,0.168095,1.22848607750608,14
"beta[9]",-0.20890850508982,0.173359350231769,-0.5237,-0.33745,-0.2255,-0.0819725,0.1177575,1.09954148715902,25
"beta[10]",0.0115066592814371,0.0956765289702346,-0.1469,-0.0665325,0.003087,0.0757875,0.2026,1.09885957726232,47
"beta[11]",0.202727227844311,0.12409250438931,-0.0726,0.1318,0.2053,0.2915,0.4259925,1.16011959166135,20
"beta[12]",0.62454630738523,0.109384581110651,0.41680249970764,0.555,0.6152,0.696424934016012,0.837879990685158,1.06432827874279,38
"surv[1,1]",0.992248902195609,0.003695409009118,0.983404999504337,0.9905,0.992849998740998,0.995,0.997197499877775,1.10221689321084,28
"surv[1,2]",0.979041117764471,0.00602288392859156,0.964802499873687,0.9756,0.9798,0.9832,0.988397499876686,1.1176855271727,23
"surv[1,3]",0.959393113772455,0.00870848923179731,0.939002499870217,0.954124999017459,0.9604,0.9654,0.973697499874825,1.11605104692464,22
"surv[1,4]",0.932472754491018,0.011769830809333,0.906602499865579,0.9254,0.933449998660882,0.941,0.9516,1.10445849204829,24
"surv[1,5]",0.897596906187625,0.0148599596906309,0.86562498593087,0.8878,0.89839999443455,0.908574998968127,0.9223,1.09234103340073,27
"surv[1,6]",0.854303892215569,0.0175761444568026,0.817,0.842124998886789,0.8555,0.866849995673659,0.883494999448135,1.08199567309756,29
"surv[1,7]",0.80245129740519,0.0197140335850678,0.760832472957762,0.788624998811272,0.803449998444209,0.8167,0.83719499941761,1.07240127555895,33
"surv[1,8]",0.743293812375249,0.0214888871132816,0.7002,0.728749994854673,0.7442,0.758974998764727,0.782387496104093,1.05919276095455,39
"surv[1,9]",0.68076626746507,0.0232735850285305,0.632309996917305,0.6654,0.6825,0.6971,0.722892498482259,1.04080203012121,53
"surv[1,10]",0.619169261477046,0.0249990280181379,0.567602499785305,0.6032,0.620849997986631,0.636,0.663897499816407,1.02233515543567,91
"surv[1,11]",0.561993213572854,0.0262748409431096,0.508007497841636,0.545524998281577,0.562799991115849,0.580474998384851,0.610594999201433,1.00913994735362,210
"surv[1,12]",0.510346706586826,0.0270618504611447,0.457419982966702,0.4936,0.509999990196078,0.528874955670263,0.561397499782883,1.00193642788377,820
"surv[1,13]",0.46374001996008,0.027695889278315,0.409332449782778,0.44682499790202,0.4621,0.482149992221262,0.517192497878395,1.00168051817852,920
"surv[1,14]",0.421530538922156,0.0285091040983839,0.365902499666977,0.402724997672301,0.4197,0.4419,0.4781,1.00901360733619,230
"surv[1,15]",0.383092215568862,0.0296689866781952,0.325044878941191,0.3628,0.381,0.404574997682563,0.441784990060148,1.02235793039048,98
"surv[1,16]",0.34788373253493,0.0311569819994332,0.289602499579257,0.3259,0.345949996386761,0.370249989869884,0.409482485400234,1.03855450727761,59
"surv[1,17]",0.315453293413174,0.0328393114080971,0.257024952698948,0.291924996788925,0.313549996013395,0.338874997233221,0.380094998716998,1.05468168269972,43
"surv[1,18]",0.285449500998004,0.0345234406859123,0.221527433639552,0.2606,0.284149995600915,0.31,0.352982483060389,1.06905573237167,35
