"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta[1]",-0.0194456743512974,0.310638098846599,-0.684295,-0.22355,0.0093075,0.215525,0.4878,1.51485614675476,7
"beta[2]",-0.172768849780439,0.181024435030791,-0.5221,-0.302575,-0.1749,-0.048245,0.1786,1.18864778350521,15
"beta[3]",-0.266586536027944,0.291968330583745,-0.7719,-0.489075,-0.2743,-0.0757525,0.3228,1.07238416881754,33
"beta[4]",-0.317354834131737,0.173354453028952,-0.6394575,-0.426425,-0.32635,-0.21025,0.0405,1.01125431338079,190
"beta[5]",-0.647734720558882,0.234166583672528,-1.083975,-0.8078,-0.6469,-0.5111,-0.1685925,1.0896590721032,29
"beta[6]",-1.87529441117764,0.223441857951499,-2.302,-2.026,-1.8695,-1.71225,-1.466,1.0385287705907,64
"beta[7]",-0.25890655988024,0.142926281390886,-0.4884,-0.3699,-0.2757,-0.1614,0.04121825,1.488922137083,8
"beta[8]",-0.0311807323253493,0.076149970967902,-0.1858,-0.082095,-0.03063,0.0197575,0.110175,1.20144163742025,14
"beta[9]",-0.165100182135729,0.143924876926495,-0.459095,-0.25675,-0.1702,-0.05711,0.114675,1.07616878923067,32
"beta[10]",-0.0443079344411178,0.0728670246184601,-0.202325,-0.09143,-0.04018,0.005054,0.098549,1.00673039574746,510
"beta[11]",0.074553026247505,0.0891504840241087,-0.1052,0.023035,0.072395,0.13365,0.2423,1.08927450942214,31
"beta[12]",0.568653093812375,0.0838498565113394,0.403752367318494,0.511174983497139,0.567699991192531,0.630824927151744,0.72246997568275,1.02643881656699,83
"surv[1,1]",0.980578043912176,0.00485645259775421,0.9696,0.9776,0.981149998725985,0.9839,0.9885,1.08430990465219,30
"surv[1,2]",0.931666566866267,0.00990289264343064,0.91071999144011,0.9248,0.9324,0.9385,0.949697499871661,1.0849263693127,29
"surv[1,3]",0.846925249500998,0.0161996371238581,0.814012496258423,0.836,0.848249998526378,0.8586,0.876894999443981,1.07316228799584,32
"surv[1,4]",0.723500099800399,0.0215719331931177,0.680102499820816,0.709324998678383,0.7243,0.7382,0.763489997445091,1.06815884257842,34
"surv[1,5]",0.569952095808383,0.0240732598282834,0.522904999067934,0.5526,0.5709,0.5859,0.616289996834604,1.06487445124326,35
"surv[1,6]",0.4193124750499,0.0247462699448966,0.374509994796716,0.4017,0.419,0.4357,0.471092497670696,1.04527127534115,48
"surv[1,7]",0.301357684630739,0.0242633813421417,0.258404998114351,0.284924996710045,0.300249962531222,0.317349988180911,0.35337747201908,1.019749484,100
"surv[1,8]",0.219757984031936,0.0227930370637429,0.178712482981118,0.2045,0.218149994269998,0.234249983986904,0.269292495923951,1.00547688131777,340
"surv[1,9]",0.16425748502994,0.0210712712096799,0.126909984665382,0.1504,0.1624,0.176574994689639,0.210284979097677,1.00436949854214,410
"surv[1,10]",0.126041546906188,0.0195633525996277,0.0920724670212414,0.1122,0.1244,0.13777499319378,0.170592493563033,1.01435735460362,140
"surv[1,11]",0.0990979940119761,0.0183788651712499,0.067501213591807,0.0857099842565579,0.0977649988492814,0.110474991511355,0.140194996519556,1.03141054483561,66
"surv[1,12]",0.0795630339321357,0.0174508730156356,0.0502904999030876,0.06627,0.0784399974502804,0.0906549995863134,0.118182449278672,1.05189559623677,42
"surv[1,13]",0.0649892215568862,0.0166769363788985,0.0374824967539661,0.0521124998201122,0.0638749998043053,0.0757974998763098,0.101892489214862,1.07175920870957,32
"surv[1,14]",0.0538162175648703,0.0159761699277083,0.0278939888552649,0.0414599963832179,0.0520899961604913,0.0642399976645214,0.0894351154961436,1.08914637154149,27
"surv[1,15]",0.0450311477045908,0.015290538297219,0.020945472023558,0.0331149898143936,0.0431399895688444,0.0549124984631847,0.0789992498611203,1.10353832931737,24
"surv[1,16]",0.0379688163672655,0.0145888340436602,0.015820998769431,0.0263149985753181,0.0361999986187845,0.04736,0.0706059955747597,1.11510239887119,22
"surv[1,17]",0.0321812944111776,0.0138565588224403,0.011861993452331,0.021262499559152,0.0305349995906337,0.0408124887378164,0.0635535363381139,1.1243218312805,20
"surv[1,18]",0.0273844441117764,0.0130980687472033,0.00888314710637693,0.0171524994535386,0.0255399980422865,0.0356174786617409,0.0575907209104447,1.13166149720934,19
"surv[1,19]",0.0233925758483034,0.0123324040697099,0.00663138321608706,0.0137674938758828,0.02129,0.0307574117489738,0.0524733980141789,1.13757720270283,19
"surv[1,20]",0.0200595628742515,0.0115752052520856,0.0048218609210671,0.0110874586551166,0.01778,0.0267549649160807,0.0474332312012678,1.14234290891381,18
"surv[1,21]",0.0172668952095808,0.0108389931946894,0.00358352350571051,0.00896049293412256,0.0149349790759813,0.0232899742083208,0.0430156571672335,1.14625538168117,18
"surv[1,22]",0.0149187122754491,0.0101323777977483,0.00265269642190688,0.00718724185697805,0.0125949910678809,0.0201374995343736,0.0384337300989606,1.1494952785936,18
"surv[1,23]",0.0129370814371257,0.00946092363044822,0.00194639840533678,0.00578549941684661,0.0106299952963301,0.0175749978654775,0.0354007025547588,1.1521844025894,17
"surv[1,24]",0.0112591920159681,0.0088282006916644,0.00141817458021593,0.00463724949476346,0.00894249987419626,0.0154049975646713,0.0328948650597011,1.15443320979695,17
"surv[1,25]",0.00983343333333333,0.00823564456562541,0.00102324881626243,0.00373546388211675,0.00757896510085645,0.0134724937325886,0.0301809472669579,1.15633414094966,17
"surv[1,26]",0.00861764341317365,0.00768330285641261,0.000735696473098567,0.00300024996875608,0.00638799992172824,0.0118949968456465,0.0275757371771356,1.15795138629548,17
"surv[1,27]",0.00757735718562874,0.00717026164452611,0.000527851647100373,0.00239924683889833,0.0054204855871038,0.0104474991023697,0.025527746124228,1.15933281146462,17
"surv[1,28]",0.00668420286427146,0.00669488087573143,0.000382434937682839,0.00190849980357921,0.00459899304196038,0.00920649898132882,0.023665483233497,1.16052958248852,17
"surv[1,29]",0.00591487979041916,0.00625560584131537,0.000273332424871557,0.0015432499392647,0.00391199680470217,0.0080797497098631,0.022047996454113,1.16155265468595,17
"surv[1,30]",0.00525006735528942,0.00585008428782637,0.000193924937358026,0.00125749970194723,0.00331898779750694,0.00715845582449901,0.0205757327917393,1.16243666384856,17
"surv[1,31]",0.00467377531936128,0.00547603416608631,0.000136652110475412,0.00101849963205224,0.00278948023832398,0.00627399976086725,0.0189897499357992,1.16320815921976,17
"surv[1,32]",0.00417254974051896,0.00513116322015543,9.69786972457688e-05,0.000816322678670872,0.00235349952198848,0.00560849993312925,0.0177382466248964,1.16388515185318,16
"surv[1,33]",0.00373537282335329,0.0048130647286576,6.86590096012123e-05,0.000656448716630819,0.00198699899345722,0.00492,0.0166162334019811,1.16448260792564,16
"surv[1,34]",0.00335290862275449,0.00451988178612551,4.85118076564231e-05,0.000532074364684687,0.00169449638536056,0.00435724980631276,0.0155939545389511,1.16499449447185,16
"surv[1,35]",0.00301735540618762,0.00424944616879621,3.42161012956736e-05,0.000431348949853697,0.00143349921520732,0.00386974803614082,0.0146129338083798,1.16544380857282,16
"surv[1,36]",0.00272213603093812,0.00399981253082283,2.4078442006248e-05,0.000352649989368237,0.00120949162874325,0.00341724865479846,0.0136047101034699,1.16584964114555,16
"surv[1,37]",0.00246174959780439,0.00376939349140383,1.69139816635062e-05,0.000285549881889732,0.00102999563105869,0.00301649688865326,0.0126859752077,1.16619673852499,16
