class,studycode,study,t1,t2,treat1,treat2,lab1,lab2,hr,lower,upper
os,1,ESCORT-1st,1,2,chemo,cam,che,cam,0.7,0.56,0.88
os,2,CheckMate 648,1,3,chemo,nivo,che,nivo,0.74,0.58,0.96
os,3,ORIENT-15,1,4,chemo,sinti,che,sinti,0.63,0.51,0.78
os,4,JUPITER-06,1,5,chemo,tori,che,tori,0.58,0.43,0.78
os,5,KEYNOTE-590,1,6,chemo,pemb,che,pemb,0.72,0.6,0.88
os,6,RATIONALE-306,1,7,chemo,tisle,che,tisle,0.66,0.54,0.8
pfs,1,ESCORT-1st,1,2,chemo,cam,che,cam,0.56,0.46,0.68
pfs,2,CheckMate 648,1,3,chemo,nivo,che,nivo,0.81,0.64,1.04
pfs,3,ORIENT-15,1,4,chemo,sinti,che,sinti,0.56,0.46,0.68
pfs,4,JUPITER-06,1,5,chemo,tori,che,tori,0.58,0.46,0.74
pfs,5,KEYNOTE-590,1,6,chemo,pemb,che,pemb,0.65,0.54,0.78
pfs,6,RATIONALE-306,1,7,chemo,tisle,che,tisle,0.62,0.52,0.75
