"","class","BIC","class.1","BIC.1","class.2","BIC.2","class.3","BIC.3","class.4","BIC.4","class.5","BIC.5","class.6","BIC.6"
"1","Exponential",8505.17974335569,"Exponential",1312.5656578875,"Exponential",1515.78771217092,"Exponential",890.713319853937,"Exponential",2015.15328249108,"Exponential",1561.57233873481,"Exponential",1377.08890928934
"2","LogNormal",8143.10415556326,"LogNormal",1261.82460829235,"LogNormal",1482.8524163386,"LogNormal",848.525376430704,"LogNormal",1982.12224426779,"LogNormal",1510.4980921668,"LogNormal",1322.60109871774
"3","Loglogistic",8118.67904279613,"Loglogistic",1254.4138505124,"Loglogistic",1482.41014654718,"Loglogistic",847.041958741688,"Loglogistic",1967.2825749365,"Loglogistic",1509.26892437364,"Loglogistic",1327.14320066785
"4","Generalized gamma",8139.29660881848,"Generalized gamma",1266.77825485207,"Generalized gamma",1488.17899890283,"Generalized gamma",853.679485009643,"Generalized gamma",1985.03777518655,"Generalized gamma",1510.87884462251,"Generalized gamma",1325.33296217032
"5","Gompertz",8469.74140163015,"Gompertz",1306.30752289195,"Gompertz",1519.14015270669,"Gompertz",892.385824894231,"Gompertz",2021.00679667373,"Gompertz",1565.51657950236,"Gompertz",1378.33743808356
"6","Weibull",8267.18285261257,"Weibull",1278.14027192773,"Weibull",1517.04722732245,"Weibull",870.036465439457,"Weibull",2006.51924192912,"Weibull",1558.38727356173,"Weibull",1354.54492048382
"7","Royston and Parmar-odds 2",8123.33908651947,"Royston and Parmar-odds 2",1251.63251888677,"Royston and Parmar-odds 2",1491.85353536311,"Royston and Parmar-odds 2",850.218776355822,"Royston and Parmar-odds 2",1969.86767290522,"Royston and Parmar-odds 2",1499.91922736307,"Royston and Parmar-odds 2",1322.71601021442
"8","Royston and Parmar-odds 3",8055.66079549138,"Royston and Parmar-odds 3",1255.64801612339,"Royston and Parmar-odds 3",1491.72532384009,"Royston and Parmar-odds 3",834.510247715615,"Royston and Parmar-odds 3",1970.50294818573,"Royston and Parmar-odds 3",1498.38606136242,"Royston and Parmar-odds 3",1328.57148401324
"9","Royston and Parmar-hazard 2",8131.37771296096,"Royston and Parmar-hazard 2",1249.70163094049,"Royston and Parmar-hazard 2",1493.93006688959,"Royston and Parmar-hazard 2",847.609412210621,"Royston and Parmar-hazard 2",1968.09141001884,"Royston and Parmar-hazard 2",1496.87457520753,"Royston and Parmar-hazard 2",1323.43217224155
"10","Royston and Parmar-hazard 3",8055.08318523169,"Royston and Parmar-hazard 3",1255.19465773768,"Royston and Parmar-hazard 3",1492.20902106475,"Royston and Parmar-hazard 3",836.231031642066,"Royston and Parmar-hazard 3",1973.29679326914,"Royston and Parmar-hazard 3",1498.94956710564,"Royston and Parmar-hazard 3",1328.88958599253
"11","Royston and Parmar-normal 2",8136.03252740829,"Royston and Parmar-normal 2",1253.05091479381,"Royston and Parmar-normal 2",1492.81162673612,"Royston and Parmar-normal 2",851.297058591757,"Royston and Parmar-normal 2",1969.44468453624,"Royston and Parmar-normal 2",1499.33729867858,"Royston and Parmar-normal 2",1321.78045125087
"12","Royston and Parmar-normal 3",8055.08040819579,"Royston and Parmar-normal 3",1255.46465373972,"Royston and Parmar-normal 3",1492.92538622949,"Royston and Parmar-normal 3",834.093581067152,"Royston and Parmar-normal 3",1969.98524464569,"Royston and Parmar-normal 3",1497.28581790953,"Royston and Parmar-normal 3",1327.63931483295
